row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,2015,2014,numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,21,156.330.520.200,142.453.774.304,1.0,21.0,156330520200.0,142453774304.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,21,81.940.445,-,2.0,21.0,81940445.0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,21,156.248.579.755,142.453.774.304,10.0,21.0,156248579755.0,142453774304.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,22,32.366.816.101,33.405.211.666,11.0,22.0,32366816101.0,33405211666.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,123.881.763.654,109.048.562.638,20.0,,123881763654.0,109048562638.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,24,1.878.520.803.974,1.895.784.328.964,21.0,24.0,1878520803974.0,1895784328964.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,25,24.173.370.415,24.597.628.281,22.0,25.0,24173370415.0,24597628281.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,46.427.314.824,31.872.691.024,23.0,,46427314824.0,31872691024.0
8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,26,,202.488.463.307,197.893.311.522,26.0,,202488463307.0,197893311522.0
9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),30,,1.775.740.733.906,1.782.341.951.799,30.0,,1775740733906.0,1782341951799.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,3.939.258.446,12.190.911,31.0,,3939258446.0,12190911.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,32,,34.331.051,21.392.041,32.0,,34331051.0,21392041.0
12. Lợi nhuận khác (40=31-32),12. Lợi nhuận khác (40=31-32),12. Lợi nhuận khác (40=31-32),40,,3.904.927.395,(9.201.130),40.0,,3904927395.0,-9201130.0
13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.779.645.661.301,1.782.332.750.669,50.0,,1779645661301.0,1782332750669.0
14. Chi phí thuế thu nhập doanh nghiệp hiện hành,14. Chi phí thuế thu nhập doanh nghiệp hiện hành,14. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,26,2.538.779.133,51.791.799,51.0,26.0,2538779133.0,51791799.0
15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),15. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,1.777.106.882.168,1.782.280.958.870,60.0,,1777106882168.0,1782280958870.0
