row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu (trực tiếp và gián tiếp),Tỷ lệ quyền biểu quyết,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu (trực tiếp và gián tiếp),numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động chính
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,"Tầng 22, tòa nhà Keangnam Landmark 72, E6, Phạm Hùng, Mễ Trì, Từ Liêm, Hà Nội",100%,100%,"Cung cấp giải pháp phần mềm ứng dụng, dịch vụ ERP, dịch vụ công nghệ thông tin, tích hợp hệ thống",,1.0,1.0,
Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,Công ty TNHH Phần mềm FPT,"Tầng 6-12, tòa nhà FPT Cầu Giấy, phố Duy Tân, quận Cầu Giấy, Hà Nội",100%,100%,Cung cấp các dịch vụ và sản phẩm phần mềm,,1.0,1.0,
Công ty TNHH Thương mại FPT,Công ty TNHH Thương mại FPT,Công ty TNHH Thương mại FPT,"Tòa nhà FPT Cầu Giấy, phố Duy Tân, quận Cầu Giấy, Hà Nội",100%,100%,"Sản xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tính",,1.0,1.0,
