row_label_raw,row_label_full,Ông Bùi Quang Ngọc,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Nguyễn Thế Phương,Ông Nguyễn Thế Phương,Ông Nguyễn Thế Phương,Phó Tổng Giám đốc,
Ông Dương Dũng Triều,Ông Dương Dũng Triều,Ông Dương Dũng Triều,Phó Tổng Giám đốc,
Ông Nguyễn Khắc Thành,Ông Nguyễn Khắc Thành,Ông Nguyễn Khắc Thành,Phó Tổng Giám đốc,
Bà Chu Thị Thanh Hà,Bà Chu Thị Thanh Hà,Bà Chu Thị Thanh Hà,Phó Tổng Giám đốc (miễn nhiệm ngày 31 tháng 3 năm 2015),
