row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,31/12/2014,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,4.156.606.447.858,3.887.813.296.854,100.0,,4156606447858.0,3887813296854.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,1.369.140.931.655,1.340.230.030.329,110.0,5.0,1369140931655.0,1340230030329.0
1. Tiền,1. Tiền,1. Tiền,111,,154.440.931.655,112.430.030.329,111.0,,154440931655.0,112430030329.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,1.214.700.000.000,1.227.800.000.000,112.0,,1214700000000.0,1227800000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,1.375.400.000.000,1.234.475.000.000,120.0,6.0,1375400000000.0,1234475000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,1.375.400.000.000,1.234.475.000.000,123.0,,1375400000000.0,1234475000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.390.590.911.526,1.284.628.480.733,130.0,,1390590911526.0,1284628480733.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,47.380.174.447,46.297.499.957,131.0,7.0,47380174447.0,46297499957.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,121.602.490.344,23.632.226.275,132.0,8.0,121602490344.0,23632226275.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,9,165.500.000.000,144.778.750.000,135.0,9.0,165500000000.0,144778750000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,10,1.056.108.246.735,1.069.920.004.501,136.0,10.0,1056108246735.0,1069920004501.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,37.367.253,348.633.007,140.0,,37367253.0,348633007.0
