row_label_raw,row_label_full,Theo QD 15/2006/QD-BTC > Tên chỉ tiêu,Theo QD 15/2006/QD-BTC > Mã số,Theo QD 15/2006/QD-BTC > 31/12/2014VND,Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,Theo TT 200/2014/TT-BTC > Mã số,Theo TT 200/2014/TT-BTC > 31/12/2014VND,Thay đổi,numeric__Theo QD 15/2006/QD-BTC > Mã số,numeric__Theo QD 15/2006/QD-BTC > 31/12/2014VND,numeric__Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,numeric__Theo TT 200/2014/TT-BTC > Mã số,numeric__Theo TT 200/2014/TT-BTC > 31/12/2014VND,numeric__Thay đổi
L Tài sản,L Tài sản,L Tài sản,,,L Tài sản,,,,,,,,,
1. Đầu tư ngắn hạn,L Tài sản > 1. Đầu tư ngắn hạn,1. Đầu tư ngắn hạn,121,1.379.253.750.000,1. Đầu tư nắm giữ đến ngày đáo hạn,123,1.234.475.000.000,Phân loại lại và đối tên,121.0,1379253750000.0,,123.0,1234475000000.0,
2. Phải thu khách hàng,L Tài sản > 2. Phải thu khách hàng,2. Phải thu khách hàng,131,1.226.870.146,2. Phải thu ngắn hạn của khách hàng,131,46.297.499.957,Phân loại lại và đối tên,131.0,1226870146.0,,131.0,46297499957.0,
3. Trà trước cho người bán,L Tài sản > 3. Trà trước cho người bán,3. Trà trước cho người bán,132,1.803.891.392,3. Trà trước cho người bán ngắn hạn,132,23.632.226.275,Phân loại lại và đối tên,132.0,1803891392.0,,132.0,23632226275.0,
4. Phải thu nội bộ ngắn hạn,L Tài sản > 4. Phải thu nội bộ ngắn hạn,4. Phải thu nội bộ ngắn hạn,133,472.103.337.183,4. Phải thu nội bộ ngắn hạn,133,-,Trình bày lại và đối tên,133.0,472103337183.0,,133.0,,
Không có chỉ tiêu tương ứng,L Tài sản > Không có chỉ tiêu tương ứng,Không có chỉ tiêu tương ứng,,,5. Phải thu về cho vay ngắn hạn,135,144.778.750.000,Phân loại lại và đối tên,,,,135.0,144778750000.0,
5. Các khoản phải thu khác,L Tài sản > 5. Các khoản phải thu khác,5. Các khoản phải thu khác,135,119.272.337.086,6. Phải thu ngắn hạn khác,136,1.069.920.004.501,Phân loại lại và đối tên,135.0,119272337086.0,,136.0,1069920004501.0,
6. Tài sản ngắn hạn khác,L Tài sản > 6. Tài sản ngắn hạn khác,6. Tài sản ngắn hạn khác,158,197.505.698,7. Tài sản ngắn hạn khác,155,-,Phân loại lại,158.0,197505698.0,,155.0,,
7. Đầu tư dài hạn khác,L Tài sản > 7. Đầu tư dài hạn khác,7. Đầu tư dài hạn khác,258,5.919.900.000,8. Đầu tư góp vốn vào đơn vị khác,253,5.919.900.000,Phân loại lại và đối tên,258.0,5919900000.0,,253.0,5919900000.0,
IL Nguồn vốn,IL Nguồn vốn,IL Nguồn vốn,,,II. Nguồn vốn,,,,,,,,,
1. Vay và nợ ngắn hạn,IL Nguồn vốn > 1. Vay và nợ ngắn hạn,1. Vay và nợ ngắn hạn,311,1.181.750.000.000,1. Vay ngắn hạn,320,1.181.750.000.000,Đổi tên,311.0,1181750000000.0,,320.0,1181750000000.0,
2. Phải trả người bán,IL Nguồn vốn > 2. Phải trả người bán,2. Phải trả người bán,312,5.157.068.028,2. Phải trả người bán ngắn hạn,311,17.855.016.608,Trình bày lại và đối tên,312.0,5157068028.0,,311.0,17855016608.0,
3. Người mua trả tiền trước,IL Nguồn vốn > 3. Người mua trả tiền trước,3. Người mua trả tiền trước,313,355.359.606,3. Người mua trả tiền trước ngắn hạn,312,355.359.606,Đổi tên,313.0,355359606.0,,312.0,355359606.0,
4. Chi phí phải trả,IL Nguồn vốn > 4. Chi phí phải trả,4. Chi phí phải trả,316,22.866.395.351,4. Chi phí phải trả ngắn hạn,315,22.866.395.351,Đổi tên,316.0,22866395351.0,,315.0,22866395351.0,
"5. Các khoản phải trả, phải nộp ngắn hạn khác","IL Nguồn vốn > 5. Các khoản phải trả, phải nộp ngắn hạn khác","5. Các khoản phải trả, phải nộp ngắn hạn khác",319,9.990.647.283,5. Phải trả ngắn hạn khác,319,542.538.487.931,Trình bày lại và đối tên,319.0,9990647283.0,,319.0,542538487931.0,
6. Vốn điều lệ,IL Nguồn vốn > 6. Vốn điều lệ,6. Vốn điều lệ,411,3.439.766.000.000,6. Vốn góp của chủ sở hữu,411,3.439.766.000.000,Đổi tên,411.0,3439766000000.0,,411.0,3439766000000.0,
