row_label_raw,row_label_full,CHỈ TIÊU,Mã số,2015,2014,numeric__Mã số,numeric__2015,numeric__2014
Thay đổi hàng tồn kho,2. Điều chỉnh cho các khoản: > Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,10,311.265.754,1.216.500,10.0,311265754.0,1216500.0
"Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(281.350.165.493),(7.616.415.047),11.0,-281350165493.0,-7616415047.0
Thay đổi chi phí trả trước,2. Điều chỉnh cho các khoản: > Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,6.329.483.870,(362.771.018),12.0,6329483870.0,-362771018.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(46.414.438.521),(39.084.222.988),14.0,-46414438521.0,-39084222988.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,-,(51.791.799),15.0,,-51791799.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,23.000.000.000,5.572.248.028,16.0,23000000000.0,5572248028.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(757.585.915),(3.222.386.189),17.0,-757585915.0,-3222386189.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(211.392.051.688),167.566.572.140,20.0,-211392051688.0,167566572140.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài han khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài han khác","1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài han khác",21,(345.309.009.816),(30.521.911.063),21.0,-345309009816.0,-30521911063.0
"2. Tiền thu thanh lý, nhượng bán TSCD và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 2. Tiền thu thanh lý, nhượng bán TSCD và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCD và các tài sản dài hạn khác",22,102.545.211.112,9.890.910,22.0,102545211112.0,9890910.0
"3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác",23,(3.466.260.000.000),(2.764.178.750.000),23.0,-3466260000000.0,-2764178750000.0
"4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,3.304.613.750.000,2.413.150.000.000,24.0,3304613750000.0,2413150000000.0
5. Tiền chỉ đầu tư góp vốn vào các đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 5. Tiền chỉ đầu tư góp vốn vào các đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào các đơn vị khác,25,(122.500.000.000),(420.471.325.312),25.0,-122500000000.0,-420471325312.0
"6. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 6. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia","6. Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",27,1.410.437.290.918,1.240.861.910.898,27.0,1410437290918.0,1240861910898.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,883.527.242.214,438.849.815.433,30.0,883527242214.0,438849815433.0
