row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Các giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,,,
Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Bên liên quan > Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Tiền gửi thanh toán,(309.328),(114.057),,-309328.0,-114057.0
Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Bên liên quan > Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Tiền gửi có kỳ hạn,(1.102.500),(212.332),,-1102500.0,-212332.0
Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Bên liên quan > Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Tiền gửi ký quỹ,(14.000),(76.292),,-14000.0,-76292.0
Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Bên liên quan > Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Cho vay,,248.940,,,248940.0
Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Bên liên quan > Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Cổ đông lớn vàcác bên liênquan với cổ đông lớn,Dự thu lãi cho vay,,535,,,535.0
"Các công tyNgân hàng đàutư, góp vốn","Bên liên quan > Các công tyNgân hàng đàutư, góp vốn","Các công tyNgân hàng đàutư, góp vốn",Tiền gửi thanh toán và vốn chuyên dụng,(613.294),(2.674.692),,-613294.0,-2674692.0
"Các công tyNgân hàng đàutư, góp vốn","Bên liên quan > Các công tyNgân hàng đàutư, góp vốn","Các công tyNgân hàng đàutư, góp vốn",Tiền gửi có kỳ hạn,(1.373.523),(643.381),,-1373523.0,-643381.0
"Các công tyNgân hàng đàutư, góp vốn","Bên liên quan > Các công tyNgân hàng đàutư, góp vốn","Các công tyNgân hàng đàutư, góp vốn",Tiền gửi ký quỹ,(23.722),(2),,-23722.0,-2.0
"Các công tyNgân hàng đàutư, góp vốn","Bên liên quan > Các công tyNgân hàng đàutư, góp vốn","Các công tyNgân hàng đàutư, góp vốn",Cho vay,1.919.651,1.371.134,,1919651.0,1371134.0
"Các công tyNgân hàng đàutư, góp vốn","Bên liên quan > Các công tyNgân hàng đàutư, góp vốn","Các công tyNgân hàng đàutư, góp vốn",Dự thu lãi cho vay,1.326,931,,1326.0,931.0
Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Tiền gửi thanh toán,(488.162),(139.142),,-488162.0,-139142.0
Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Tiền gửi tiết kiệm,(389.538),(301.147),,-389538.0,-301147.0
Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Tiền gửi có kỳ hạn,(1.492.741),(900.000),,-1492741.0,-900000.0
Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Cho vay,7.036,9.841,,7036.0,9841.0
Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Dự thu lãi cho vay,23,39,,23.0,39.0
Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Bên liên quan > Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Thành viên Hộiđồng Quản trị vàBan Điều hànhcủa Ngân hàngvà các bên liênquan đến các cánhân này,Phải thu dịch vụ thu hộ kèm hỗ trợquản lý trái phiếu,29.258,16.249,,29258.0,16249.0
