row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Đến 1thángTriệu đồng,numeric__Từ 1 - 3thángTriệu đồng,numeric__Từ 3 - 6thángTriệu đồng,numeric__Từ 6 - 12thángTriệu đồng,numeric__Từ 1 - 5nămTriệu đồng,numeric__Trên 5nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.257.255,-,-,-,-,-,-,2.257.255,,2257255.0,,,,,,,2257255.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,7.788.112,-,-,-,-,-,7.788.112,,,7788112.0,,,,,,7788112.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,43.110.934,1.700.000,-,-,-,-,44.810.934,,,43110934.0,1700000.0,,,,,44810934.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,12.478.245,-,-,-,-,-,-,12.478.245,,12478245.0,,,,,,,12478245.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.616.467,-,45.944.590,82.447.481,18.222.903,21.685.184,5.366.392,40.075,178.323.092,4616467.0,,45944590.0,82447481.0,18222903.0,21685184.0,5366392.0,40075.0,178323092.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,1.013.973,1.165.838,2.465.760,7.936.022,12.229.191,16.754.611,16.758.990,58.324.385,,1013973.0,1165838.0,2465760.0,7936022.0,12229191.0,16754611.0,16758990.0,58324385.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,185.117,-,-,-,-,-,-,185.117,,185117.0,,,,,,,185117.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.059.428,-,-,-,-,-,-,1.059.428,,1059428.0,,,,,,,1059428.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,20.860,-,-,-,-,-,-,20.860,,20860.0,,,,,,,20860.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,40.017,9.973.138,780.973,2.462.326,1.546.885,597.068,574.000,-,15.974.407,40017.0,9973138.0,780973.0,2462326.0,1546885.0,597068.0,574000.0,,15974407.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.656.484,26.988.016,98.790.447,89.075.567,27.705.810,34.511.443,22.695.003,16.799.065,321.221.835,4656484.0,26988016.0,98790447.0,89075567.0,27705810.0,34511443.0,22695003.0,16799065.0,321221835.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,142.170,-,-,601,-,142.771,,,,142170.0,,,601.0,,142771.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,63.385.265,6.018.016,3.674.724,2.097.568,-,-,75.175.573,,,63385265.0,6018016.0,3674724.0,2097568.0,,,75175573.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,318.315,52.674.049,34.913.070,38.505.077,40.864.470,7.344.015,1.274,174.620.270,,318315.0,52674049.0,34913070.0,38505077.0,40864470.0,7344015.0,1274.0,174620270.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,215.182,-,-,-,-,-,-,215.182,,215182.0,,,,,,,215182.0
