row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Quyền sửdụng đấtTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Quyền sửdụng đấtTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.083,42.212,44.295,2083.0,42212.0,44295.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(101),(23.136),(23.237),-101.0,-23136.0,-23237.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,1.982,19.076,21.058,1982.0,19076.0,21058.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,197,-,197,197.0,,197.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,58,-,58,58.0,,58.0
Giảm trong năm,Giá trị hao mòn luỹ kế > Giảm trong năm,Giảm trong năm,(57),-,(57),-57.0,,-57.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,198,-,198,198.0,,198.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.886,42.212,44.098,1886.0,42212.0,44098.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.784,19.076,20.860,1784.0,19076.0,20860.0
