row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2020 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,38.432.853,6.378.081,44.810.934,38432853.0,6378081.0,44810934.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,178.323.092,-,178.323.092,178323092.0,,178323092.0
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,70.802.630,-,70.802.630,70802630.0,,70802630.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2020 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",185.117,-,185.117,185117.0,,185117.0
Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2020 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,68.013.836,7.161.737,75.175.573,68013836.0,7161737.0,75175573.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2020 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,174.620.270,-,174.620.270,174620270.0,,174620270.0
"Vốn tải trợ, ủy thác đầu tư, cho vay TCTDchju rủi ro","Công nợ tại ngày 31 tháng 12 năm 2020 > Vốn tải trợ, ủy thác đầu tư, cho vay TCTDchju rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay TCTDchju rủi ro",3.037.163,-,3.037.163,3037163.0,,3037163.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2020 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,34.332.257,-,34.332.257,34332257.0,,34332257.0
Các công cụ tài chính phải sinh (tổng giá trị giao dịch theo hợp đồng),Công nợ tại ngày 31 tháng 12 năm 2020 > Các công cụ tài chính phải sinh (tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh (tổng giá trị giao dịch theo hợp đồng),65.101.963,-,65.101.963,65101963.0,,65101963.0
Cam kết ngoại bằng tạingày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020 > Cam kết ngoại bằng tạingày 31 tháng 12 năm 2020,Cam kết ngoại bằng tạingày 31 tháng 12 năm 2020,148.431.274,-,148.431.274,148431274.0,,148431274.0
