row_label_raw,row_label_full,col_0,Thay đổi lãi suất,Ảnh hưởng tăng/(giảm) lợi nhuận sau thuế Triệu đồng,numeric__Thay đổi lãi suất,numeric__Ảnh hưởng tăng/(giảm) lợi nhuận sau thuế Triệu đồng
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,
VND,Tại ngày 31 tháng 12 năm 2020 > VND,VND,"0,2%",(22.892),0.002,-22892.0
VND,Tại ngày 31 tháng 12 năm 2020 > VND,VND,"(0,2%)",22.892,,22892.0
USD,Tại ngày 31 tháng 12 năm 2020 > USD,USD,"0,2%",(1.907),0.002,-1907.0
USD,Tại ngày 31 tháng 12 năm 2020 > USD,USD,"(0,2%)",1.907,,1907.0
