row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay Triệu đồng,Năm trước Triệu đồng,numeric__Thuyết minh,numeric__Năm nay Triệu đồng,numeric__Năm trước Triệu đồng
LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
Mua sắm tài sản cố định,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Mua sắm tài sản cố định,Mua sắm tài sản cố định,,(282.765),(183.219),,-282765.0,-183219.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định","LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán tài sản cố định","Tiền thu từ thanh lý, nhượng bán tài sản cố định",,616,132.012,,616.0,132012.0
"Tiền chi từ thanh lý, nhượng bán tài sản cố định","LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi từ thanh lý, nhượng bán tài sản cố định","Tiền chi từ thanh lý, nhượng bán tài sản cố định",,-,(6.348),,,-6348.0
Mua sắm bất động sản đầu tư,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Mua sắm bất động sản đầu tư,Mua sắm bất động sản đầu tư,,-,(221),,,-221.0
"Tiền thu từ bán, thanh lý bất động sản đầu tư","LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ bán, thanh lý bất động sản đầu tư","Tiền thu từ bán, thanh lý bất động sản đầu tư",,27.003,25.100,,27003.0,25100.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",34,260,27.069,34.0,260.0,27069.0
Tiền thuần sử dụng vào hoạt động đầu tư,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thuần sử dụng vào hoạt động đầu tư,Tiền thuần sử dụng vào hoạt động đầu tư,,(254.886),(5.607),,-254886.0,-5607.0
LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,,,
Tiền chi ra mua cổ phiếu quỹ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền chi ra mua cổ phiếu quỹ,Tiền chi ra mua cổ phiếu quỹ,,(344.752),(158.927),,-344752.0,-158927.0
Tiền thu được do bán cổ phiếu quỹ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền thu được do bán cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,,32.815,-,,32815.0,
Tiền thuần sử dụng vào hoạt động tài chính,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền thuần sử dụng vào hoạt động tài chính,Tiền thuần sử dụng vào hoạt động tài chính,,(311.937),(158.927),,-311937.0,-158927.0
Tiền thuần trong năm,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền thuần trong năm,Tiền thuần trong năm,,24.393.321,(9.094.181),,24393321.0,-9094181.0
Tiền và các khoản tương đương tiền đầu năm,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,36,30.362.980,39.457.161,36.0,30362980.0,39457161.0
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,36,54.756.301,30.362.980,36.0,54756301.0,30362980.0
