row_label_raw,row_label_full,Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay,Số cuối nămTriệu đồng > Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay,Số đầu nămTriệu đồng > Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay,numeric__Số cuối nămTriệu đồng > Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay,numeric__Số đầu nămTriệu đồng > Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay
Bằng VND,Bằng VND,Bằng VND,1.314.521,1.315.848,1314521.0,1315848.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,3.990.731,2.499.970,3990731.0,2499970.0
Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,,
Bằng VND,Vay các tổ chức tín dụng khác > Bằng VND,Bằng VND,23.793.124,13.543.534,23793124.0,13543534.0
Bằng ngoại tệ,Vay các tổ chức tín dụng khác > Bằng ngoại tệ,Bằng ngoại tệ,7.082.730,6.213.411,7082730.0,6213411.0
,,,36.181.106,23.572.763,36181106.0,23572763.0
