row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tài sản khác Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tài sản khác Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,104.233,253.455,214.820,3.362,575.870,104233.0,253455.0,214820.0,3362.0,575870.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.144,106.104,2.145,110.393,,2144.0,106104.0,2145.0,110393.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,104.233,255.599,320.924,5.507,686.263,104233.0,255599.0,320924.0,5507.0,686263.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,6.107,-,195.577,2.772,204.456,6107.0,,195577.0,2772.0,204456.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,2.053,-,21.109,615,23.777,2053.0,,21109.0,615.0,23777.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,8.160,-,216.686,3.387,228.233,8160.0,,216686.0,3387.0,228233.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,98.126,253.455,19.243,590,371.414,98126.0,253455.0,19243.0,590.0,371414.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,96.073,255.599,104.238,2.120,458.030,96073.0,255599.0,104238.0,2120.0,458030.0
