row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,427.228,160.920,275.523,303.817,11.744,1.179.232,427228.0,160920.0,275523.0,303817.0,11744.0,1179232.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.830,69.865,45.099,31.011,214,152.019,5830.0,69865.0,45099.0,31011.0,214.0,152019.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(235),(6.924),(959),(4.119),(128),(12.365),-235.0,-6924.0,-959.0,-4119.0,-128.0,-12365.0
Điều chỉnh trong năm,Nguyên giá > Điều chỉnh trong năm,Điều chỉnh trong năm,-,-,-,(11),-,(11),,,,-11.0,,-11.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,432.823,223.861,319.663,330.698,11.830,1.318.875,432823.0,223861.0,319663.0,330698.0,11830.0,1318875.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,106.010,130.129,148.381,253.231,9.333,647.084,106010.0,130129.0,148381.0,253231.0,9333.0,647084.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,15.868,11.047,33.453,21.440,917,82.725,15868.0,11047.0,33453.0,21440.0,917.0,82725.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(229),(6.907),(959),(4.115),(128),(12.338),-229.0,-6907.0,-959.0,-4115.0,-128.0,-12338.0
Điều chỉnh trong năm,Giá trị hao mòn luỹ kế > Điều chỉnh trong năm,Điều chỉnh trong năm,-,-,17,(11),-,6,,,17.0,-11.0,,6.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,121.649,134.269,180.892,270.545,10.122,717.477,121649.0,134269.0,180892.0,270545.0,10122.0,717477.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,321.218,30.791,127.142,50.586,2.411,532.148,321218.0,30791.0,127142.0,50586.0,2411.0,532148.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,311.174,89.592,138.771,60.153,1.708,601.398,311174.0,89592.0,138771.0,60153.0,1708.0,601398.0
