row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phậnđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng côngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phậnđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng côngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,7.245.266(5.534.767),3.774.470(2.761.094),36.856.606(27.682.776),47.876.342(35.978.637),(24.739.096)24.739.096,23.137.246(11.239.541),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,7.245.266(5.534.767),3.774.470(2.761.094),36.856.606(27.682.776),47.876.342(35.978.637),(24.739.096)24.739.096,23.137.246(11.239.541),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,1.710.499,1.013.376,9.173.830,11.897.705,-,11.897.705,1710499.0,1013376.0,9173830.0,11897705.0,,11897705.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,77.428,37.979,1.766.323,1.881.730,-,1.881.730,77428.0,37979.0,1766323.0,1881730.0,,1881730.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,1.787.927,1.051.355,10.940.153,13.779.435,-,13.779.435,1787927.0,1051355.0,10940153.0,13779435.0,,13779435.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(614.994),(425.497),(5.132.338),(6.172.829),-,(6.172.829),-614994.0,-425497.0,-5132338.0,-6172829.0,,-6172829.0
Lợi nhuận thuần tử hoạt động kinh doanhtrước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần tử hoạt động kinh doanhtrước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần tử hoạt động kinh doanhtrước chi phí dự phòng rủi ro tín dụng,1.172.933,625.858,5.807.815,7.606.606,-,7.606.606,1172933.0,625858.0,5807815.0,7606606.0,,7606606.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(95.787),(42.086),(1.650.511),(1.788.384),-,(1.788.384),-95787.0,-42086.0,-1650511.0,-1788384.0,,-1788384.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,1.077.146,583.772,4.157.304,5.818.222,-,5.818.222,1077146.0,583772.0,4157304.0,5818222.0,,5818222.0
TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,,,,,,
