row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
DIC Phương Nam,Trả trước cho người bán ngắn hạn > DIC Phương Nam,DIC Phương Nam,Công ty liên kết,Trả trước thực hiện dự án,187.601.084.910,189.685.905.922,,,187601084910.0,189685905922.0
DIC Resco,Trả trước cho người bán ngắn hạn > DIC Resco,DIC Resco,Công ty liên kết,Trả trước dịch vụ cung cấp,-,1.930.045.518,,,,1930045518.0
,,,,,187.601.084.910,191.615.951.440,,,187601084910.0,191615951440.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
DIC Phương Nam,Phải thu về cho vay ngắn hạn > DIC Phương Nam,DIC Phương Nam,Công ty liên kết,Cho vay,55.950.768.652,-,,,55950768652.0,
DIC Khoáng Sản Miền Trung,Phải thu về cho vay ngắn hạn > DIC Khoáng Sản Miền Trung,DIC Khoáng Sản Miền Trung,Công ty con,Cho vay,-,13.323.000.000,,,,13323000000.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
DIC Anh em,Phải thu về cho vay dài hạn > DIC Anh em,DIC Anh em,Công ty con,Cho vay,60.000.000.000,70.000.000.000,,,60000000000.0,70000000000.0
DIC Bê tông,Phải thu về cho vay dài hạn > DIC Bê tông,DIC Bê tông,Công ty trong cùng Tập đoàn,Cho vay,-,3.538.379.756,,,,3538379756.0
DIC Vật liệu Xây dựng,Phải thu về cho vay dài hạn > DIC Vật liệu Xây dựng,DIC Vật liệu Xây dựng,Trước đây là công ty con,Cho vay,-,2.220.006.150,,,,2220006150.0
,,,,,115.950.768.652,89.081.385.906,,,115950768652.0,89081385906.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
DIC Anh em,Phải thu ngắn hạn khác > DIC Anh em,DIC Anh em,Công ty con,Lãi vay phải thu,14.275.356.110,9.594.261.666,,,14275356110.0,9594261666.0
DIC Phương Nam,Phải thu ngắn hạn khác > DIC Phương Nam,DIC Phương Nam,Công ty liên kết,Lãi vay phải thu,2.142.126.952,102.666.667,,,2142126952.0,102666667.0
DIC Số 4,Phải thu ngắn hạn khác > DIC Số 4,DIC Số 4,Công ty liên kết,Lãi trái phiếu,427.954.339,430.146.119,,,427954339.0,430146119.0
DIC Resco,Phải thu ngắn hạn khác > DIC Resco,DIC Resco,Công ty liên kết,Cổ tức phải thu,21.689.000,-,,,21689000.0,
DIC Vật liệu Xây dựng,Phải thu ngắn hạn khác > DIC Vật liệu Xây dựng,DIC Vật liệu Xây dựng,Trước đây là công ty con,Lãi vay phải thu,-,2.860.716.265,,,,2860716265.0
DIC Khoáng Sản Miền Trung,Phải thu ngắn hạn khác > DIC Khoáng Sản Miền Trung,DIC Khoáng Sản Miền Trung,Trước đây là công ty con,Lãi vay phải thu,-,743.304.029,,,,743304029.0
DIC Hà Nam,Phải thu ngắn hạn khác > DIC Hà Nam,DIC Hà Nam,Công ty con,Chi hộ,-,2.076.580,,,,2076580.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Công ty Cổ phần Đầu tư và Thương mại DIC,Phải thu dài hạn khác > Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Bên liên quan,Hợp đồng hợp tác kinh doanh,3.000.000.000,3.000.000.000,,,3000000000.0,3000000000.0
,,,,,19.867.126.401,16.733.171.326,,,19867126401.0,16733171326.0
