row_label_raw,row_label_full,col_0,Loại hình kinh doanh,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019_1,Ngày 31 tháng 12 năm 2019_2,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018_1,Ngày 31 tháng 12 năm 2018_2,numeric__Loại hình kinh doanh,numeric__Ngày 31 tháng 12 năm 2019,numeric__Ngày 31 tháng 12 năm 2019_1,numeric__Ngày 31 tháng 12 năm 2019_2,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2018_1,numeric__Ngày 31 tháng 12 năm 2018_2
,,,Loại hình kinh doanh,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,,
"Công ty Cổ phần Đầu tư Phát triển Phương Nam (""DIC Phương Nam"")","Công ty Cổ phần Đầu tư Phát triển Phương Nam (""DIC Phương Nam"")","Công ty Cổ phần Đầu tư Phát triển Phương Nam (""DIC Phương Nam"")","Du lịch, khách sạn",225.400.000.000,-,"45,75%",254.150.768.652,-,"48,88%",,225400000000.0,,0.4575,254150768652.0,,0.4888
"Công ty Cổ phần DIC Số 4 (""DIC Số 4"")","Công ty Cổ phần DIC Số 4 (""DIC Số 4"")","Công ty Cổ phần DIC Số 4 (""DIC Số 4"")",Xây lắp,109.602.184.500,-,"39,29%",27.402.184.500,-,"26,23%",,109602184500.0,,0.39289999999999997,27402184500.0,,0.2623
"Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông (""DIC Bê tông"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông (""DIC Bê tông"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông (""DIC Bê tông"")",Sản xuất bê tông,17.982.564.000,-,"36,00%",17.982.564.000,-,"36,00%",,17982564000.0,,0.36,17982564000.0,,0.36
"Công ty Cổ phần Bất động sản DIC (""DIC Resco"")","Công ty Cổ phần Bất động sản DIC (""DIC Resco"")","Công ty Cổ phần Bất động sản DIC (""DIC Resco"")",Bất động sản,4.815.000.000,-,"21,34%",4.815.000.000,-,"42,67%",,4815000000.0,,0.2134,4815000000.0,,0.4267
"Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Công ty Cổ phần DIC Toàn Cầu (""DIC Toàn Cầu"")","Tư vấn, môi giới, dấu giá bất động sản",2.450.000.000,(613.002.198),"37,69%",2.450.000.000,(617.536.961),"49,00%",,2450000000.0,-613002198.0,0.37689999999999996,2450000000.0,-617536961.0,0.49
"Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thế thao Vũng Tàu (""DIC Du lịch"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thế thao Vũng Tàu (""DIC Du lịch"")","Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thế thao Vũng Tàu (""DIC Du lịch"")",Du lịch,-,-,-,17.938.560.000,(2.436.781.031),"23,92%",,,,,17938560000.0,-2436781031.0,0.23920000000000002
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,360.249.748.500,(613.002.198),,324.739.077.152,(3.054.317.992),,,360249748500.0,-613002198.0,,324739077152.0,-3054317992.0,
15.3 Đầu tư vào các đơn vị khác,15.3 Đầu tư vào các đơn vị khác,15.3 Đầu tư vào các đơn vị khác,15.3 Đầu tư vào các đơn vị khác,15.3 Đầu tư vào các đơn vị khác,15.3 Đầu tư vào các đơn vị khác,15.3 Đầu tư vào các đơn vị khác,15.3 Đầu tư vào các đơn vị khác,15.3 Đầu tư vào các đơn vị khác,15.3 Đầu tư vào các đơn vị khác,,,,,,,
,,,,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,,,,,,,
