row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,,,,
DIC Resco,Phải thu ngắn hạn khách hàng > DIC Resco,DIC Resco,Công ty liên kết,Doanh thu bán hàng và cung cấp dịch vụ,24.819.697.200,-,,,24819697200.0,
DIC Số 4,Phải thu ngắn hạn khách hàng > DIC Số 4,DIC Số 4,Công ty liên kết,Cung cấp dịch vụ,3.382.402.000,1.900.000.000,,,3382402000.0,1900000000.0
Vina Đại Phước,Phải thu ngắn hạn khách hàng > Vina Đại Phước,Vina Đại Phước,Công ty trong cùng Tập đoàn,Cung cấp dịch vụ,1.024.764.990,781.678.376,,,1024764990.0,781678376.0
DIC Số 1,Phải thu ngắn hạn khách hàng > DIC Số 1,DIC Số 1,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,461.879.918,84.268.318,,,461879918.0,84268318.0
DIC Phương Nam,Phải thu ngắn hạn khách hàng > DIC Phương Nam,DIC Phương Nam,Công ty liên kết,Cung cấp dịch vụ,302.714.457,302.714.457,,,302714457.0,302714457.0
DIC Bê tông,Phải thu ngắn hạn khách hàng > DIC Bê tông,DIC Bê tông,Công ty liên kết,Cung cấp dịch vụ,201.231.453,109.773.300,,,201231453.0,109773300.0
DIC T&T,Phải thu ngắn hạn khách hàng > DIC T&T,DIC T&T,Công ty con,Cung cấp dịch vụ,196.282.000,-,,,196282000.0,
DIC Số 2,Phải thu ngắn hạn khách hàng > DIC Số 2,DIC Số 2,Công ty con,Cung cấp dịch vụ,155.184.764,13.369.000,,,155184764.0,13369000.0
DIC Du lịch Thể thao,Phải thu ngắn hạn khách hàng > DIC Du lịch Thể thao,DIC Du lịch Thể thao,Trước đây là công ty liên kết,Cung cấp dịch vụ,-,135.722.226,,,,135722226.0
,,,,,30.544.156.782,3.327.525.677,,,30544156782.0,3327525677.0
