row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019_1,Ngày 31 tháng 12 năm 2019_2,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018_1,Ngày 31 tháng 12 năm 2018_2,numeric__Ngày 31 tháng 12 năm 2019,numeric__Ngày 31 tháng 12 năm 2019_1,numeric__Ngày 31 tháng 12 năm 2019_2,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2018_1,numeric__Ngày 31 tháng 12 năm 2018_2
,,,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,
Công ty Cổ phần Thủy Cung DIG,Công ty Cổ phần Thủy Cung DIG,Công ty Cổ phần Thủy Cung DIG,147.250.000.000,(3.458.000),"95,00%",147.250.000.000,(3.458.000),"95,00%",147250000000.0,-3458000.0,0.95,147250000000.0,-3458000.0,0.95
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,75.902.432.291,(7.856.552.218),"98,00%",75.902.432.291,(7.848.039.797),"98,00%",75902432291.0,-7856552218.0,0.98,75902432291.0,-7848039797.0,0.98
Công ty Cổ phần Du lịch và Thương mại DIC,Công ty Cổ phần Du lịch và Thương mại DIC,Công ty Cổ phần Du lịch và Thương mại DIC,75.389.000.000,-,"68,58%",75.389.000.000,-,"68,58%",75389000000.0,,0.6858,75389000000.0,,0.6858
Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,75.250.000.000,(75.250.000.000),"89,03%",75.250.000.000,(75.250.000.000),"89,03%",75250000000.0,-75250000000.0,0.8903,75250000000.0,-75250000000.0,0.8903
Công ty Cổ phần Đầu tư Phát triển Xây dựng Số 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng Số 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng Số 1,14.726.900.000,-,"51,67%",14.726.900.000,-,"51,67%",14726900000.0,,0.5167,14726900000.0,,0.5167
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,12.862.796.574,(3.311.892.620),"50,07%",12.862.796.574,(3.456.640.952),"50,07%",12862796574.0,-3311892620.0,0.5007,12862796574.0,-3456640952.0,0.5007
Công ty Cổ phần Đầu tư Phát triển Xây dựng,Công ty Cổ phần Đầu tư Phát triển Xây dựng,Công ty Cổ phần Đầu tư Phát triển Xây dựng,,,,,,,,,,,,
Khoáng Sản Miền Trung,Công ty Cổ phần Đầu tư Phát triển Xây dựng > Khoáng Sản Miền Trung,Khoáng Sản Miền Trung,-,-,-,20.360.390.000,(20.360.390.000),"68,96%",,,,20360390000.0,-20360390000.0,0.6896
Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty Cổ phần Đầu tư Phát triển Xây dựng > Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty Cổ phần Vật liệu Xây dựng DIC,-,-,-,84.135.660.000,(65.811.773.167),"96,36%",,,,84135660000.0,-65811773167.0,0.9636
TỔNG CỔNG,Công ty Cổ phần Đầu tư Phát triển Xây dựng > TỔNG CỔNG,TỔNG CỔNG,401.381.128.865,(86.421.902.838),,505.877.178.865,(172.730.301.916),,401381128865.0,-86421902838.0,,505877178865.0,-172730301916.0,
