row_label_raw,row_label_full,col_0,Nhà cửavà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Tài sảncố định khác,VNDTổng cộng,numeric__Nhà cửavà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,20.575.107.190,4.328.023.130,41.082.750.213,3.027.088.503,457.856.820,69.470.825.856,20575107190.0,4328023130.0,41082750213.0,3027088503.0,457856820.0,69470825856.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,586.320.909,10.260.309.272,1.435.810.000,-,12.282.440.181,,586320909.0,10260309272.0,1435810000.0,,12282440181.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(2.303.365.143),-,-,(2.303.365.143),,,-2303365143.0,,,-2303365143.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,20.575.107.190,4.914.344.039,49.039.694.342,4.462.898.503,457.856.820,79.449.900.894,20575107190.0,4914344039.0,49039694342.0,4462898503.0,457856820.0,79449900894.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,869.652.944,34.080.000,10.348.188.279,1.571.511.587,334.954.546,13.158.387.356,869652944.0,34080000.0,10348188279.0,1571511587.0,334954546.0,13158387356.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(9.562.890.298),(2.389.684.179),(19.212.601.841),(1.847.226.680),(361.583.376),(33.373.986.374),-9562890298.0,-2389684179.0,-19212601841.0,-1847226680.0,-361583376.0,-33373986374.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(584.688.300),(501.487.019),(3.474.822.767),(447.931.157),(24.580.452),(5.033.509.695),-584688300.0,-501487019.0,-3474822767.0,-447931157.0,-24580452.0,-5033509695.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,2.303.365.143,-,-,2.303.365.143,,,2303365143.0,,,2303365143.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(10.147.578.598),(2.891.171.198),(20.384.059.465),(2.295.157.837),(386.163.828),(36.104.130.926),-10147578598.0,-2891171198.0,-20384059465.0,-2295157837.0,-386163828.0,-36104130926.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,11.012.216.892,1.938.338.951,21.870.148.372,1.179.861.823,96.273.444,36.096.839.482,11012216892.0,1938338951.0,21870148372.0,1179861823.0,96273444.0,36096839482.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,10.427.528.592,2.023.172.841,28.655.634.877,2.167.740.666,71.692.992,43.345.769.968,10427528592.0,2023172841.0,28655634877.0,2167740666.0,71692992.0,43345769968.0
Một số tài sản cố định của Tổng Công ty tại ngày 31 tháng 12 năm 2019 đã được thế chấp cho các khoản vay ngắn hạn được trình bày tại TM số 21.1.,Một số tài sản cố định của Tổng Công ty tại ngày 31 tháng 12 năm 2019 đã được thế chấp cho các khoản vay ngắn hạn được trình bày tại TM số 21.1.,Một số tài sản cố định của Tổng Công ty tại ngày 31 tháng 12 năm 2019 đã được thế chấp cho các khoản vay ngắn hạn được trình bày tại TM số 21.1.,Một số tài sản cố định của Tổng Công ty tại ngày 31 tháng 12 năm 2019 đã được thế chấp cho các khoản vay ngắn hạn được trình bày tại TM số 21.1.,Một số tài sản cố định của Tổng Công ty tại ngày 31 tháng 12 năm 2019 đã được thế chấp cho các khoản vay ngắn hạn được trình bày tại TM số 21.1.,Một số tài sản cố định của Tổng Công ty tại ngày 31 tháng 12 năm 2019 đã được thế chấp cho các khoản vay ngắn hạn được trình bày tại TM số 21.1.,Một số tài sản cố định của Tổng Công ty tại ngày 31 tháng 12 năm 2019 đã được thế chấp cho các khoản vay ngắn hạn được trình bày tại TM số 21.1.,Một số tài sản cố định của Tổng Công ty tại ngày 31 tháng 12 năm 2019 đã được thế chấp cho các khoản vay ngắn hạn được trình bày tại TM số 21.1.,Một số tài sản cố định của Tổng Công ty tại ngày 31 tháng 12 năm 2019 đã được thế chấp cho các khoản vay ngắn hạn được trình bày tại TM số 21.1.,,,,,,
