row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Bà Rịa - Vũng Tàu,Số cuối năm > 14.190.000.000,VND Số đầu năm > 4.190.000.000,numeric__Số cuối năm > 14.190.000.000,numeric__VND Số đầu năm > 4.190.000.000
Trái phiếu chuyển đổi của DIC Số 4,Trái phiếu chuyển đổi của DIC Số 4,Trái phiếu chuyển đổi của DIC Số 4,8.000.000.000,8.000.000.000,8000000000.0,8000000000.0
Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,Trái phiếu Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam – Chi nhánh Đồng Nai,5.000.000.000,-,5000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,27.190.000.000,12.190.000.000,27190000000.0,12190000000.0
