row_label_raw,row_label_full,Ông Hoàng Văn Tăng > Ông Trần Minh Phú,Tổng Giám đốc > Phó Tổng Giám đốc > Tổng Giám đốc,bỗ nhiệm ngày 15 tháng 7 năm 2019 > miễn nhiệm ngày 15 tháng 7 năm 2019,numeric__Tổng Giám đốc > Phó Tổng Giám đốc > Tổng Giám đốc,numeric__bỗ nhiệm ngày 15 tháng 7 năm 2019 > miễn nhiệm ngày 15 tháng 7 năm 2019
Ông Bùi Văn Sự,Ông Bùi Văn Sự,Ông Bùi Văn Sự,Phó Tổng Giám đốc,,,
Ông Phạm Văn Thành,Ông Phạm Văn Thành,Ông Phạm Văn Thành,Phó Tổng Giám đốc,miễn nhiệm ngày 4 tháng 3 năm 2020,,
Bà Nguyễn Thị Thanh Huyền,Bà Nguyễn Thị Thanh Huyền,Bà Nguyễn Thị Thanh Huyền,Phó Tổng Giám đốc,,,
Ông Nguyễn Văn Tùng,Ông Nguyễn Văn Tùng,Ông Nguyễn Văn Tùng,Phó Tổng Giám đốc,,,
