row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,620.733.372.534,247.457.077.338,620733372534.0,247457077338.0
"Tạm ứng tiền đền bù cho Ban bồi thường, giải phóng mặt bằng","Tạm ứng tiền đền bù cho Ban bồi thường, giải phóng mặt bằng","Tạm ứng tiền đền bù cho Ban bồi thường, giải phóng mặt bằng",502.667.181.263,192.788.753.263,502667181263.0,192788753263.0
Trong đó:,Trong đó:,Trong đó:,,,,
Dự án Long Tân,Trong đó: > Dự án Long Tân,Dự án Long Tân,315.910.617.600,78.409.455.600,315910617600.0,78409455600.0
Dự án Bắc Vũng Tàu,Trong đó: > Dự án Bắc Vũng Tàu,Dự án Bắc Vũng Tàu,179.078.845.600,111.511.579.600,179078845600.0,111511579600.0
Dự án Hiệp Phước,Trong đó: > Dự án Hiệp Phước,Dự án Hiệp Phước,4.810.000.000,-,4810000000.0,
Dự án Bầu Trũng,Trong đó: > Dự án Bầu Trũng,Dự án Bầu Trũng,2.000.000.000,2.000.000.000,2000000000.0,2000000000.0
Dự án Chí Linh,Trong đó: > Dự án Chí Linh,Dự án Chí Linh,867.718.063,867.718.063,867718063.0,867718063.0
Lãi phải thu,Trong đó: > Lãi phải thu,Lãi phải thu,18.136.477.242,13.731.094.746,18136477242.0,13731094746.0
Tạm ứng cho nhân viên,Trong đó: > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,94.692.690.860,35.236.710.342,94692690860.0,35236710342.0
Khác,Trong đó: > Khác,Khác,5.237.023.169,5.700.518.987,5237023169.0,5700518987.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,82.999.999.999,82.999.999.999,82999999999.0,82999999999.0
Hợp đồng hợp tác kinh doanh với Công ty Cổ phần Đầu tư Xây dựng A.T.A.,Trong đó: > Hợp đồng hợp tác kinh doanh với Công ty Cổ phần Đầu tư Xây dựng A.T.A.,Hợp đồng hợp tác kinh doanh với Công ty Cổ phần Đầu tư Xây dựng A.T.A.,79.999.999.999,79.999.999.999,79999999999.0,79999999999.0
Công ty Cổ phần Đầu tư và Thương mại DIC,Trong đó: > Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,3.000.000.000,3.000.000.000,3000000000.0,3000000000.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,703.733.372.533,330.457.077.337,703733372533.0,330457077337.0
Dự phòng phải thu khác,Trong đó: > Dự phòng phải thu khác,Dự phòng phải thu khác,(6.523.956.904),(6.523.956.904),-6523956904.0,-6523956904.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,697.209.415.629,323.933.120.433,697209415629.0,323933120433.0
Trong đó:,Trong đó:,Trong đó:,,,,
Các bên khác,Trong đó: > Các bên khác,Các bên khác,677.342.289.228,307.199.949.107,677342289228.0,307199949107.0
Các bên liên quan (TM số 30),Trong đó: > Các bên liên quan (TM số 30),Các bên liên quan (TM số 30),19.867.126.401,16.733.171.326,19867126401.0,16733171326.0
