row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty TNHH Một Thành viên Tôn Hoa Sen,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Tôn Hoa Sen,Công ty TNHH Một Thành viên Tôn Hoa Sen,Công ty con,Bán hàng,1.372.719.862.467,800.534.662.997,,,1372719862467.0,800534662997.0
Công ty TNHH Một Thành viên Hoa Sen Nghệ An,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Hoa Sen Nghệ An,Công ty TNHH Một Thành viên Hoa Sen Nghệ An,Công ty con,Bán hàng,666.455.845.353,420.889.853.059,,,666455845353.0,420889853059.0
Công ty TNHH Một Thành viên Vật liệu Xây dựng Hoa Sen,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Vật liệu Xây dựng Hoa Sen,Công ty TNHH Một Thành viên Vật liệu Xây dựng Hoa Sen,Công ty con,Bán hàng,423.765.967.282,232.002.562.858,,,423765967282.0,232002562858.0
Công ty TNHH Một Thành viên Hoa Sen Nhơn Hội - Bình Định,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Hoa Sen Nhơn Hội - Bình Định,Công ty TNHH Một Thành viên Hoa Sen Nhơn Hội - Bình Định,Công ty con,Bán hàng,416.327.068.751,2.433.567.426,,,416327068751.0,2433567426.0
Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty con,Bán hàng,10.215.237.917,-,,,10215237917.0,
Công ty TNHH Một Thành viên Vật liệu xây dựng Hoa Sen Yên Bái,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Vật liệu xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành viên Vật liệu xây dựng Hoa Sen Yên Bái,Công ty con,Bán hàng,2.380.875.132,-,,,2380875132.0,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Phải thu ngắn hạn của khách hàng > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Bên liên quan,Bán hàng,451.645.235,27.493.400,,,451645235.0,27493400.0
Công ty TNHH Một Thành viên Hoa Sen Bình Định,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Hoa Sen Bình Định,Công ty TNHH Một Thành viên Hoa Sen Bình Định,Công ty con,Bán hàng,-,60.250.074.913,,,,60250074913.0
Công ty TNHH Một Thành viên Vận tải và Cơ khí Hoa Sen,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Vận tải và Cơ khí Hoa Sen,Công ty TNHH Một Thành viên Vận tải và Cơ khí Hoa Sen,Công ty con,Bán hàng,-,585.685.088,,,,585685088.0
