row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Các bên khác,Các bên khác,Các bên khác,2.926.831.509.306,1.286.862.909.994,2926831509306.0,1286862909994.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Hangzhou Cogeneration (HongKong) Co.,LTD","Trong đó: > Hangzhou Cogeneration (HongKong) Co.,LTD","Hangzhou Cogeneration (HongKong) Co.,LTD",645.971.085.812,-,645971085812.0,
Arcelormittal International Singapore Private Limited,Trong đó: > Arcelormittal International Singapore Private Limited,Arcelormittal International Singapore Private Limited,441.107.265.180,-,441107265180.0,
Công ty TNHH Thép Kim Quốc,Trong đó: > Công ty TNHH Thép Kim Quốc,Công ty TNHH Thép Kim Quốc,354.762.942.484,59.267.168.719,354762942484.0,59267168719.0
Cumic Steel Limited,Trong đó: > Cumic Steel Limited,Cumic Steel Limited,281.538.763.799,319.967.802,281538763799.0,319967802.0
Baosteel Singapore Pte Ltd.,Trong đó: > Baosteel Singapore Pte Ltd.,Baosteel Singapore Pte Ltd.,116.938.036.052,256.372.215.014,116938036052.0,256372215014.0
"Ep Steel Trading Co., Ltd.","Trong đó: > Ep Steel Trading Co., Ltd.","Ep Steel Trading Co., Ltd.",-,489.859.708.622,,489859708622.0
"Hongkong Grand International Co., Ltd.","Trong đó: > Hongkong Grand International Co., Ltd.","Hongkong Grand International Co., Ltd.",-,181.747.126.994,,181747126994.0
Khác,Trong đó: > Khác,Khác,1.086.513.415.979,299.296.722.843,1086513415979.0,299296722843.0
Các bên liên quan (Thuyết minh số 28),Trong đó: > Các bên liên quan (Thuyết minh số 28),Các bên liên quan (Thuyết minh số 28),381.237.934.811,215.023.244.843,381237934811.0,215023244843.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,3.308.069.444.117,1.501.886.154.837,3308069444117.0,1501886154837.0
