row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm vi tính,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm vi tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,286.888.786.265,1.344.757.711,288.233.543.976,286888786265.0,1344757711.0,288233543976.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.407.254.000),-,(6.407.254.000),-6407254000.0,,-6407254000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,280.481.532.265,1.344.757.711,281.826.289.976,280481532265.0,1344757711.0,281826289976.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,456.396.144,1.344.757.711,1.801.153.855,456396144.0,1344757711.0,1801153855.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(19.269.405.038),(1.344.757.711),(20.614.162.749),-19269405038.0,-1344757711.0,-20614162749.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(2.619.572.712),-,(2.619.572.712),-2619572712.0,,-2619572712.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(21.888.977.750),(1.344.757.711),(23.233.735.461),-21888977750.0,-1344757711.0,-23233735461.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,267.619.381.227,-,267.619.381.227,267619381227.0,,267619381227.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,258.592.554.515,-,258.592.554.515,258592554515.0,,258592554515.0
