row_label_raw,row_label_full,col_0,"Nhà xưởng,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà xưởng,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,620.092.251.986,3.174.255.498.187,310.270.251.683,21.883.292.617,18.754.118.841,4.145.255.413.314,620092251986.0,3174255498187.0,310270251683.0,21883292617.0,18754118841.0,4145255413314.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,2.185.289.765,162.313.111.244,65.327.751.333,10.861.890.416,563.130.430,241.251.173.188,2185289765.0,162313111244.0,65327751333.0,10861890416.0,563130430.0,241251173188.0
Đầu tư xây dựng cơbản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơbản hoàn thành,Đầu tư xây dựng cơbản hoàn thành,28.016.752.538,121.916.977.256,5.359.260.001,-,-,155.292.989.795,28016752538.0,121916977256.0,5359260001.0,,,155292989795.0
Mua lại tài sản cố địnhthuê tài chính,Nguyên giá: > Mua lại tài sản cố địnhthuê tài chính,Mua lại tài sản cố địnhthuê tài chính,-,84.032.961.457,12.199.636.362,-,-,96.232.597.819,,84032961457.0,12199636362.0,,,96232597819.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.186.236.211),(56.713.853.937),(13.624.767.963),(136.593.528),-,(71.661.451.639),-1186236211.0,-56713853937.0,-13624767963.0,-136593528.0,,-71661451639.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,649.108.058.078,3.485.804.694.207,379.532.131.416,32.608.589.505,19.317.249.271,4.566.370.722.477,649108058078.0,3485804694207.0,379532131416.0,32608589505.0,19317249271.0,4566370722477.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,2.716.651.573,262.518.008.908,19.207.485.836,1.095.360.370,5.424.985.811,290.962.492.498,2716651573.0,262518008908.0,19207485836.0,1095360370.0,5424985811.0,290962492498.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(218.297.241.782),(1.385.067.803.192),(81.715.948.876),(6.416.338.968),(13.488.712.173),(1.704.986.044.991),-218297241782.0,-1385067803192.0,-81715948876.0,-6416338968.0,-13488712173.0,-1704986044991.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(37.409.293.522),(309.807.262.906),(39.660.346.427),(4.220.612.357),(2.723.812.159),(393.821.327.371),-37409293522.0,-309807262906.0,-39660346427.0,-4220612357.0,-2723812159.0,-393821327371.0
Mua lại tài sản cố địnhthuê tài chính,Giá trị khấu hao lũy kế: > Mua lại tài sản cố địnhthuê tài chính,Mua lại tài sản cố địnhthuê tài chính,-,(44.646.719.661),(3.522.165.280),-,-,(48.168.884.941),,-44646719661.0,-3522165280.0,,,-48168884941.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",608.436.698,38.287.436.563,4.770.066.841,136.593.528,-,43.802.533.630,608436698.0,38287436563.0,4770066841.0,136593528.0,,43802533630.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(255.098.098.606),(1.701.234.349.196),(120.128.393.742),(10.500.357.797),(16.212.524.332),(2.103.173.723.673),-255098098606.0,-1701234349196.0,-120128393742.0,-10500357797.0,-16212524332.0,-2103173723673.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,401.795.010.204,1.789.187.694.995,228.554.302.807,15.466.953.649,5.265.406.668,2.440.269.368.323,401795010204.0,1789187694995.0,228554302807.0,15466953649.0,5265406668.0,2440269368323.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,394.009.959.472,1.784.570.345.011,259.403.737.674,22.108.231.708,3.104.724.939,2.463.196.998.804,394009959472.0,1784570345011.0,259403737674.0,22108231708.0,3104724939.0,2463196998804.0
