row_label_raw,row_label_full,Đầu tư vào các công ty con (Thuyết minh số 14.1) > Đầu tư vào công ty liên kết (Thuyết minh số 14.2),Số cuối năm > 1.633.276.000.000 > 80.302.178.134,VND Số đầu năm > 1.025.576.000.000 > 52.852.178.134,numeric__Số cuối năm > 1.633.276.000.000 > 80.302.178.134,numeric__VND Số đầu năm > 1.025.576.000.000 > 52.852.178.134
Trái phiếu tại Ngân hàng Thương mại Cổ phần,Trái phiếu tại Ngân hàng Thương mại Cổ phần,Trái phiếu tại Ngân hàng Thương mại Cổ phần,,,,
Ngoại Thương Việt Nam (*),Trái phiếu tại Ngân hàng Thương mại Cổ phần > Ngoại Thương Việt Nam (*),Ngoại Thương Việt Nam (*),46.600.000.000,-,46600000000.0,
TỔNG CỘNG,Trái phiếu tại Ngân hàng Thương mại Cổ phần > TỔNG CỘNG,TỔNG CỘNG,1.760.178.178.134,1.078.428.178.134,1760178178134.0,1078428178134.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Trái phiếu tại Ngân hàng Thương mại Cổ phần > Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(35.933.075.667),(26.949.806.750),-35933075667.0,-26949806750.0
GIÁ TRỊ THUẢN,Trái phiếu tại Ngân hàng Thương mại Cổ phần > GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,1.724.245.102.467,1.051.478.371.384,1724245102467.0,1051478371384.0
