row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANHTổng lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khẩu hao và hao mònCác khoản dự phòngLỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"Thuyết minh > 10, 11, 122323",Năm nay > 1.594.807.205.450408.968.204.48218.796.915.5367.111.244.819(572.462.153.161)317.503.841.647,Năm trước > 1.868.135.081.277385.326.494.12511.104.236.7384.354.280.912(558.086.065.677)163.766.749.605,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANHTổng lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khẩu hao và hao mònCác khoản dự phòngLỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"numeric__Thuyết minh > 10, 11, 122323",numeric__Năm nay > 1.594.807.205.450408.968.204.48218.796.915.5367.111.244.819(572.462.153.161)317.503.841.647,numeric__Năm trước > 1.868.135.081.277385.326.494.12511.104.236.7384.354.280.912(558.086.065.677)163.766.749.605
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuTăng hàng tồn khoTăng các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,16,1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679)1.919.983.405.482(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),1.874.600.776.98079.609.350.350(888.721.776.242)1.115.842.465.230(72.363.512.787)(164.756.559.795)(271.132.777.209)(32.821.856.159),,16.0,,
09,09,09,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuTăng hàng tồn khoTăng các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,16,1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679)1.919.983.405.482(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),1.874.600.776.98079.609.350.350(888.721.776.242)1.115.842.465.230(72.363.512.787)(164.756.559.795)(271.132.777.209)(32.821.856.159),,16.0,,
10,10,10,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuTăng hàng tồn khoTăng các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,16,1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679)1.919.983.405.482(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),1.874.600.776.98079.609.350.350(888.721.776.242)1.115.842.465.230(72.363.512.787)(164.756.559.795)(271.132.777.209)(32.821.856.159),,16.0,,
11,11,11,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuTăng hàng tồn khoTăng các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,16,1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679)1.919.983.405.482(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),1.874.600.776.98079.609.350.350(888.721.776.242)1.115.842.465.230(72.363.512.787)(164.756.559.795)(271.132.777.209)(32.821.856.159),,16.0,,
12,12,12,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuTăng hàng tồn khoTăng các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,16,1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679)1.919.983.405.482(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),1.874.600.776.98079.609.350.350(888.721.776.242)1.115.842.465.230(72.363.512.787)(164.756.559.795)(271.132.777.209)(32.821.856.159),,16.0,,
14,14,14,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuTăng hàng tồn khoTăng các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,16,1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679)1.919.983.405.482(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),1.874.600.776.98079.609.350.350(888.721.776.242)1.115.842.465.230(72.363.512.787)(164.756.559.795)(271.132.777.209)(32.821.856.159),,16.0,,
15,15,15,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuTăng hàng tồn khoTăng các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,16,1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679)1.919.983.405.482(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),1.874.600.776.98079.609.350.350(888.721.776.242)1.115.842.465.230(72.363.512.787)(164.756.559.795)(271.132.777.209)(32.821.856.159),,16.0,,
17,17,17,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng) giảm các khoản phải thuTăng hàng tồn khoTăng các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền chi khác cho hoạt động kinh doanh,16,1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679)1.919.983.405.482(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),1.874.600.776.98079.609.350.350(888.721.776.242)1.115.842.465.230(72.363.512.787)(164.756.559.795)(271.132.777.209)(32.821.856.159),,16.0,,
20,20,20,Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động kinh doanh,,(2.009.650.927.582),1.640.256.110.368,,,-2009650927582.0,1640256110368.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi mua sắm tài sản cố địnhTiền thu do thanh lý tài sản cố địnhTiền chỉ đầu tư góp vốn vào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền lãi đã nhận,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi mua sắm tài sản cố địnhTiền thu do thanh lý tài sản cố địnhTiền chỉ đầu tư góp vốn vào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền lãi đã nhận,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi mua sắm tài sản cố địnhTiền thu do thanh lý tài sản cố địnhTiền chỉ đầu tư góp vốn vào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền lãi đã nhận,21.2,,(605.945.288.394)56.619.348.886(635.150.000.000)-2.943.903.852,(256.487.914.209)7.326.355.468(415.200.000.000)4.367.000.0008.515.622.891,212.0,,,
