row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,VNDTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__VNDTổng cộng
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,,
Số đầu năm,Nguyên giả: > Số đầu năm,Số đầu năm,114.919.308.334,20.332.727.270,135.252.035.604,114919308334.0,20332727270.0,135252035604.0
Chuyển sang tài sản cố định hữu hình,Nguyên giả: > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(84.032.961.457),(12.199.636.362),(96.232.597.819),-84032961457.0,-12199636362.0,-96232597819.0
Số cuối năm,Nguyên giả: > Số cuối năm,Số cuối năm,30.886.346.877,8.133.090.908,39.019.437.785,30886346877.0,8133090908.0,39019437785.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(45.699.813.686),(4.105.983.261),(49.805.796.947),-45699813686.0,-4105983261.0,-49805796947.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(10.664.118.428),(1.863.185.971),(12.527.304.399),-10664118428.0,-1863185971.0,-12527304399.0
Chuyển sang tài sản cố định hữu hình,Giá trị khấu hao lũy kế: > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,44.646.719.661,3.522.165.280,48.168.884.941,44646719661.0,3522165280.0,48168884941.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(11.717.212.453),(2.447.003.952),(14.164.216.405),-11717212453.0,-2447003952.0,-14164216405.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,69.219.494.648,16.226.744.009,85.446.238.657,69219494648.0,16226744009.0,85446238657.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,19.169.134.424,5.686.086.956,24.855.221.380,19169134424.0,5686086956.0,24855221380.0
