row_label_raw,row_label_full,col_0,Chỉ phí sửa chữa lớn tài sản cố định,Dự phòng khác,Tổng,numeric__Chỉ phí sửa chữa lớn tài sản cố định,numeric__Dự phòng khác,numeric__Tổng
,,,VND,VND,VND,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,153.685.463.113,159.585.157,153.845.048.270,153685463113.0,159585157.0,153845048270.0
Trích lập dự phòng,Trích lập dự phòng,Trích lập dự phòng,69.495.928.572,964.044.100,70.459.972.672,69495928572.0,964044100.0,70459972672.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(21.453.339.279),(156.307.157),(21.609.646.436),-21453339279.0,-156307157.0,-21609646436.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(42.138.736.551),-,(42.138.736.551),-42138736551.0,,-42138736551.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,159.589.315.855,967.322.100,160.556.637.955,159589315855.0,967322100.0,160556637955.0
