row_label_raw,row_label_full,Chi tiêu,Dịch vụ vận tải,Dịch vụ hàng hải dầu khí,Thường mai,Tổng,numeric__Dịch vụ vận tải,numeric__Dịch vụ hàng hải dầu khí,numeric__Thường mai,numeric__Tổng
Chi tiêu,Chi tiêu,Chi tiêu,VND,VND,VND,VND,,,,
Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,,
Tài sản bộ phận,Số cuối năm > Tài sản bộ phận,Tài sản bộ phận,3.858.725.645.070,346.793.964.426,25.437.297.458,4.230.956.906.954,3858725645070.0,346793964426.0,25437297458.0,4230956906954.0
Tài sản không phân bổ,Số cuối năm > Tài sản không phân bổ,Tài sản không phân bổ,,,,2.811.785.518.142,,,,2811785518142.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,7.042.742.425.096,,,,7042742425096.0
Nợ phải trả bộ phận,Số cuối năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.885.377.994.296,240.509.833.287,-,2.125.887.827.583,1885377994296.0,240509833287.0,,2125887827583.0
Nợ phải trả không phân bổ,Số cuối năm > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,980.417.835.723,,,,980417835723.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,3.106.305.663.306,,,,3106305663306.0
Chi tiêu,Chi tiêu,Chi tiêu,Dịch vụ vận tải,Dịch vụ hàng hải dầu khí,Thường mai,Tổng,,,,
Chi tiêu,Chi tiêu,Chi tiêu,VND,VND,VND,VND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,3.651.292.326.370,352.210.983.848,32.461.085.859,4.035.964.396.077,3651292326370.0,352210983848.0,32461085859.0,4035964396077.0
Tài sản không phân bổ,Số đầu năm > Tài sản không phân bổ,Tài sản không phân bổ,,,,2.957.940.362.363,,,,2957940362363.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,6.993.904.758.440,,,,6993904758440.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.028.888.297.418,248.925.577.019,2.789.982.688,2.280.603.857.125,2028888297418.0,248925577019.0,2789982688.0,2280603857125.0
Nợ phải trả không phân bổ,Số đầu năm > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,1.094.434.444.328,,,,1094434444328.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,3.375.038.301.453,,,,3375038301453.0
