row_label_raw,row_label_full,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương (khoản vay),497.579.719.789,295.349.322.852,numeric__497.579.719.789,numeric__295.349.322.852
Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,2.352.778.490,2.780.720.325,2352778490.0,2780720325.0
Công ty Cổ phần Vận tải Dầu khí Hà Nội (cổ tức phải thu),Công ty Cổ phần Vận tải Dầu khí Hà Nội (cổ tức phải thu),Công ty Cổ phần Vận tải Dầu khí Hà Nội (cổ tức phải thu),9.938.000.000,9.938.000.000,9938000000.0,9938000000.0
Công ty Cổ phần Vận tải Dầu khí Vũng Tàu (cổ tức phải thu),Công ty Cổ phần Vận tải Dầu khí Vũng Tàu (cổ tức phải thu),Công ty Cổ phần Vận tải Dầu khí Vũng Tàu (cổ tức phải thu),7.800.000.000,-,7800000000.0,
Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,7.644.465.154,7.644.465.154,7644465154.0,7644465154.0
Công ty TNHH Một Thành Viên Lọc-Hóa Dầu Bình Sơn,Công ty TNHH Một Thành Viên Lọc-Hóa Dầu Bình Sơn,Công ty TNHH Một Thành Viên Lọc-Hóa Dầu Bình Sơn,1.302.716.924,-,1302716924.0,
Công ty PV KEEZ Pte. Ltd. (cổ tức phải thu),Công ty PV KEEZ Pte. Ltd. (cổ tức phải thu),Công ty PV KEEZ Pte. Ltd. (cổ tức phải thu),1.128.995.840,-,1128995840.0,
Công ty Cổ phần Vận tải Xăng dầu Phương Nam,Công ty Cổ phần Vận tải Xăng dầu Phương Nam,Công ty Cổ phần Vận tải Xăng dầu Phương Nam,82.750.000,53.256.500,82750000.0,53256500.0
Tổng Công ty Dầu Việt Nam,Tổng Công ty Dầu Việt Nam,Tổng Công ty Dầu Việt Nam,53.590.088,53.371.117,53590088.0,53371117.0
Công ty Cổ phần Vận tải Dầu Phương Đông Việt,Công ty Cổ phần Vận tải Dầu Phương Đông Việt,Công ty Cổ phần Vận tải Dầu Phương Đông Việt,-,37.980.000,,37980000.0
,,,527.883.016.285,315.857.115.948,527883016285.0,315857115948.0
