row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 đến 5 nămVND > Số cuối năm,Trên 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 đến 5 nămVND > Số cuối năm,numeric__Trên 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,727.416.030.388,-,-,727.416.030.388,727416030388.0,,,727416030388.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.124.716.661.680,278.024.506.644,33.813.175.492,1.436.554.343.816,1124716661680.0,278024506644.0,33813175492.0,1436554343816.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,810.300.000.000,-,45.937.767.300,856.237.767.300,810300000000.0,,45937767300.0,856237767300.0
,,,2.662.432.692.068,278.024.506.644,79.750.942.792,3.020.208.141.504,2662432692068.0,278024506644.0,79750942792.0,3020208141504.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,646.321.802.328,866.618.390.424,291.485.655.269,1.804.425.848.021,646321802328.0,866618390424.0,291485655269.0,1804425848021.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,554.209.207.236,145.445.568.000,115.445.568.000,815.100.343.236,554209207236.0,145445568000.0,115445568000.0,815100343236.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,79.077.780.862,4.828.549.311,-,83.906.330.173,79077780862.0,4828549311.0,,83906330173.0
,,,1.279.608.790.426,1.016.892.507.735,406.931.223.269,2.703.432.521.430,1279608790426.0,1016892507735.0,406931223269.0,2703432521430.0
Chênh lệch thanh khoản thuần,Công nợ tài chính > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.382.823.901.642,(738.868.001.091),(327.180.280.477),316.775.620.074,1382823901642.0,-738868001091.0,-327180280477.0,316775620074.0
,,,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,384.800.687.221,-,-,384.800.687.221,384800687221.0,,,384800687221.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,940.414.765.916,705.474.046.749,101.725.683.827,1.747.614.496.492,940414765916.0,705474046749.0,101725683827.0,1747614496492.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.150.845.707.500,-,45.937.767.300,1.196.783.474.800,1150845707500.0,,45937767300.0,1196783474800.0
,,,2.476.061.160.637,705.474.046.749,147.663.451.127,3.329.198.658.513,2476061160637.0,705474046749.0,147663451127.0,3329198658513.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,409.383.776.817,1.157.639.890.738,412.566.809.968,1.979.590.477.523,409383776817.0,1157639890738.0,412566809968.0,1979590477523.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,653.512.267.290,115.445.568.000,174.306.960.000,943.264.795.290,653512267290.0,115445568000.0,174306960000.0,943264795290.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,44.940.587.644,4.833.748.007,-,49.774.335.651,44940587644.0,4833748007.0,,49774335651.0
,,,1.107.836.631.751,1.277.919.206.745,586.873.769.968,2.972.629.608.464,1107836631751.0,1277919206745.0,586873769968.0,2972629608464.0
Chênh lệch thanh khoản thuần,Công nợ tài chính > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.368.224.528.886,(572.445.159.996),(439.210.318.841),356.569.050.049,1368224528886.0,-572445159996.0,-439210318841.0,356569050049.0
