row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,5.000.000.000.000,196.652.770.150,3.033.280.000,130.560.492.706,1.618.777.850.075,6.949.024.392.931,5000000000000.0,196652770150.0,3033280000.0,130560492706.0,1618777850075.0,6949024392931.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,455.431.900.286,455.431.900.286,,,,,455431900286.0,455431900286.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,440.513.434.075,(440.513.434.075),-,,,,440513434075.0,-440513434075.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(90.764.416.000),(90.764.416.000),,,,,-90764416000.0,-90764416000.0
Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),-,-,-,-,(1.087.500.000.000),(1.087.500.000.000),,,,,-1087500000000.0,-1087500000000.0
Điều chuyển nguồn vốn,Điều chuyển nguồn vốn,Điều chuyển nguồn vốn,-,-,780.620.000,(780.620.000),-,-,,,780620000.0,-780620000.0,,
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,5.000.000.000.000,196.652.770.150,3.813.900.000,570.293.306.781,455.431.900.286,6.226.191.877.217,5000000000000.0,196652770150.0,3813900000.0,570293306781.0,455431900286.0,6226191877217.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,546.793.075.362,546.793.075.362,,,,,546793075362.0,546793075362.0
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(55.431.900.286),(55.431.900.286),,,,,-55431900286.0,-55431900286.0
Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),-,-,-,-,(400.000.000.000),(400.000.000.000),,,,,-400000000000.0,-400000000000.0
Điều chuyển nguồn vốn (Thuyết minh 25),Điều chuyển nguồn vốn (Thuyết minh 25),Điều chuyển nguồn vốn (Thuyết minh 25),-,-,12.735.231.827,(12.735.231.827),-,-,,,12735231827.0,-12735231827.0,,
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,5.000.000.000.000,196.652.770.150,16.549.131.827,557.558.074.954,546.793.075.362,6.317.553.052.293,5000000000000.0,196652770150.0,16549131827.0,557558074954.0,546793075362.0,6317553052293.0
