row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Thiết bịvăn phòngVND,Phương tiệnvận chuyểnVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận chuyểnVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.382.187.003.628,10.958.266.680.727,228.332.433.298,555.812.488.579,1.319.392.748,22.125.917.998.980,10382187003628.0,10958266680727.0,228332433298.0,555812488579.0,1319392748.0,22125917998980.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,208.365.556,9.158.387.158,7.081.071.907,1.098.247.619,-,17.546.072.240,208365556.0,9158387158.0,7081071907.0,1098247619.0,,17546072240.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,2.208.053.426,-,-,-,2.208.053.426,,2208053426.0,,,,2208053426.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,12.930.000.000,(12.930.000.000),-,-,-,-,12930000000.0,-12930000000.0,,,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(887.081.390),-,(887.081.390),,,,-887081390.0,,-887081390.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.395.325.369.184,10.956.703.121.311,235.413.505.205,556.023.654.808,1.319.392.748,22.144.785.043.256,10395325369184.0,10956703121311.0,235413505205.0,556023654808.0,1319392748.0,22144785043256.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.858.444.947.857,9.091.562.579.162,221.744.624.924,426.635.408.611,1.079.250.952,16.599.466.811.506,6858444947857.0,9091562579162.0,221744624924.0,426635408611.0,1079250952.0,16599466811506.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,457.178.672.064,465.097.488.892,4.158.781.531,14.731.771.942,26.201.616,941.192.916.045,457178672064.0,465097488892.0,4158781531.0,14731771942.0,26201616.0,941192916045.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(887.081.390),-,(887.081.390),,,,-887081390.0,,-887081390.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.315.623.619.921,9.556.660.068.054,225.903.406.455,440.480.099.163,1.105.452.568,17.539.772.646.161,7315623619921.0,9556660068054.0,225903406455.0,440480099163.0,1105452568.0,17539772646161.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.523.742.055.771,1.866.704.101.565,6.587.808.374,129.177.079.968,240.141.796,5.526.451.187.474,3523742055771.0,1866704101565.0,6587808374.0,129177079968.0,240141796.0,5526451187474.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.079.701.749.263,1.400.043.053.257,9.510.098.750,115.543.555.645,213.940.180,4.605.012.397.095,3079701749263.0,1400043053257.0,9510098750.0,115543555645.0,213940180.0,4605012397095.0
