row_label_raw,row_label_full,col_0,"Chi phí đền bù,giải phóngmặt bằngVND","numeric__Chi phí đền bù,giải phóngmặt bằngVND"
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,126.029.698.235,126029698235.0
Điều chỉnh theo kết quả kiểm toánnhà nước năm 2021 (i),Điều chỉnh theo kết quả kiểm toánnhà nước năm 2021 (i),Điều chỉnh theo kết quả kiểm toánnhà nước năm 2021 (i),24.366.381.022,24366381022.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(5.269.769.264),-5269769264.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,145.126.309.993,145126309993.0
