row_label_raw,row_label_full,col_0,1/10/2022Giá trị ghi số/Số cókhả năng trả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,30/9/2023Giá trị ghi số/Số cókhả năng trả nợVND,numeric__1/10/2022Giá trị ghi số/Số cókhả năng trả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__30/9/2023Giá trị ghi số/Số cókhả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,3.635.557.150.716,21.838.094.894.006,(22.537.307.520.764),2.936.344.523.958,3635557150716.0,21838094894006.0,-22537307520764.0,2936344523958.0
Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),434.936.369.262,42.274.905.619,(477.211.274.881),-,434936369262.0,42274905619.0,-477211274881.0,
,,,4.070.493.519.978,21.880.369.799.625,(23.014.518.795.645),2.936.344.523.958,4070493519978.0,21880369799625.0,-23014518795645.0,2936344523958.0
