row_label_raw,row_label_full,Tên công ty,Hoạt động chính,Tỷ lệ quyền sở hữu/quyền biểu quyết,Tỷ lệ quyền sở hữu/quyền biểu quyết_1,numeric__Hoạt động chính,numeric__Tỷ lệ quyền sở hữu/quyền biểu quyết,numeric__Tỷ lệ quyền sở hữu/quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,30/9/2023,1/10/2022,,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
▪ Công ty TNHH Một Thành Viên HoaSen Nghệ An,Các công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Nghệ An,▪ Công ty TNHH Một Thành Viên HoaSen Nghệ An,Sản xuất và kinh doanh tấm lợp bằng kim loại và các sản phẩmống thép.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên HoaSen Nhơn Hội - Bình Định,Các công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Nhơn Hội - Bình Định,▪ Công ty TNHH Một Thành Viên HoaSen Nhơn Hội - Bình Định,Sản xuất và kinh doanh các sản phẩm tấm lợp kim loại.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên TônHoa Sen,Các công ty con > ▪ Công ty TNHH Một Thành Viên TônHoa Sen,▪ Công ty TNHH Một Thành Viên TônHoa Sen,Sản xuất và kinh doanh các sản phẩm thép cán nguội.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên HoaSen Phú Mỹ,Các công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Phú Mỹ,▪ Công ty TNHH Một Thành Viên HoaSen Phú Mỹ,Sản xuất các sản phẩm thép dùng cho vật liệu xây dựng và tiêu dùng.,100%,100%,,1.0,1.0
▪ Công ty TNHH Một Thành Viên HoaSen Hà Nam,Các công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Hà Nam,▪ Công ty TNHH Một Thành Viên HoaSen Hà Nam,Sản xuất và kinh doanh các sản phẩm ống thép.,100%,100%,,1.0,1.0
▪ Công ty Cổ phần Nhựa Hoa Sen,Các công ty con > ▪ Công ty Cổ phần Nhựa Hoa Sen,▪ Công ty Cổ phần Nhựa Hoa Sen,Sản xuất và kinh doanh vật liệu xây dựng bằng nhựa,"99,95%","99,95%",,0.9995,0.9995
▪ Công ty TNHH Một Thành Viên HoaSen Bình Định,Các công ty con > ▪ Công ty TNHH Một Thành Viên HoaSen Bình Định,▪ Công ty TNHH Một Thành Viên HoaSen Bình Định,Sản xuất và kinh doanh các sản phẩm ống thép.,100%,100%,,1.0,1.0
▪ Công ty Cổ phần Hoa Sen Yên Bái,Các công ty con > ▪ Công ty Cổ phần Hoa Sen Yên Bái,▪ Công ty Cổ phần Hoa Sen Yên Bái,"Kinh doanh khách sạn, dịch vụ ăn uống và khu trung tâm thương mại.","95,962%",95%,,0.95962,0.95
▪ Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Các công ty con > ▪ Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,▪ Công ty TNHH Một Thành Viên Vật liệu Xây dựng Hoa Sen Yên Bái,Sản xuất và kinh doanh các sản phẩm ống thép.,100%,100%,,1.0,1.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
▪ Công ty Cổ phần Cảng Quốc tếHoa Sen,Công ty liên kết > ▪ Công ty Cổ phần Cảng Quốc tếHoa Sen,▪ Công ty Cổ phần Cảng Quốc tếHoa Sen,Cung cấp các dịch vụ hỗ trợ liên quan đến vận tải.,49%,49%,,0.49,0.49
