row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2023VND,30/9/2022VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,141.907.580.859,201.458.245.191,141907580859.0,201458245191.0
Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,58.899.234.668,64.433.530.407,58899234668.0,64433530407.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,35.716.348.704,28.253.170.952,35716348704.0,28253170952.0
Chi phí tiếp khách,Chi phí tiếp khách,Chi phí tiếp khách,13.109.662.348,13.688.805.283,13109662348.0,13688805283.0
Chi phí công tác,Chi phí công tác,Chi phí công tác,9.224.859.371,10.379.350.253,9224859371.0,10379350253.0
Chi phí dịch vụ chuyên môn,Chi phí dịch vụ chuyên môn,Chi phí dịch vụ chuyên môn,9.085.607.582,6.231.783.240,9085607582.0,6231783240.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,59.929.903.424,80.729.125.866,59929903424.0,80729125866.0
Chi phí quản lý khác,Chi phí quản lý khác,Chi phí quản lý khác,79.094.714.318,117.053.351.230,79094714318.0,117053351230.0
,,,406.967.911.274,522.227.362.422,406967911274.0,522227362422.0
