row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sãnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sãnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.843.121.743.939,10.619.315.671.481,508.175.262.734,87.597.045.920,28.523.324.642,14.086.733.048.716,2843121743939.0,10619315671481.0,508175262734.0,87597045920.0,28523324642.0,14086733048716.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,659.272.079,17.138.814.989,8.477.085.926,-,100.147.000,26.375.319.994,659272079.0,17138814989.0,8477085926.0,,100147000.0,26375319994.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,88.468.369.521,67.311.694.509,3.847.900.311,8.373.081.818,9.540.915.756,177.541.961.915,88468369521.0,67311694509.0,3847900311.0,8373081818.0,9540915756.0,177541961915.0
Chuyển từ tài sản cố định vô hình,Nguyên giá > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,-,4.986.512.351,-,4.986.512.351,,,,4986512351.0,,4986512351.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(137.900.000),(62.046.566.940),(2.891.016.355),-,-,(65.075.483.295),-137900000.0,-62046566940.0,-2891016355.0,,,-65075483295.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.246.719.022),(1.421.112.916),-,-,-,(2.667.831.938),-1246719022.0,-1421112916.0,,,,-2667831938.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.930.864.766.517,10.640.298.501.123,517.609.232.616,100.956.640.089,38.164.387.398,14.227.893.527.743,2930864766517.0,10640298501123.0,517609232616.0,100956640089.0,38164387398.0,14227893527743.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,942.983.810.820,6.926.009.712.069,370.275.810.842,67.717.454.776,25.129.325.303,8.332.116.113.810,942983810820.0,6926009712069.0,370275810842.0,67717454776.0,25129325303.0,8332116113810.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,176.650.018.519,875.223.609.032,51.455.283.312,10.991.312.985,1.914.078.717,1.116.234.302.565,176650018519.0,875223609032.0,51455283312.0,10991312985.0,1914078717.0,1116234302565.0
Chuyển từ tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,-,2.066.858.784,-,2.066.858.784,,,,2066858784.0,,2066858784.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(16.205.477),(50.022.915.470),(2.885.733.225),-,-,(52.924.854.172),-16205477.0,-50022915470.0,-2885733225.0,,,-52924854172.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(1.052.818.994),(1.188.575.899),-,-,-,(2.241.394.893),-1052818994.0,-1188575899.0,,,,-2241394893.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.118.564.804.868,7.750.021.829.732,418.845.360.929,80.775.626.545,27.043.404.020,9.395.251.026.094,1118564804868.0,7750021829732.0,418845360929.0,80775626545.0,27043404020.0,9395251026094.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.900.137.933.119,3.693.305.959.412,137.899.451.892,19.879.591.144,3.393.999.339,5.754.616.934.906,1900137933119.0,3693305959412.0,137899451892.0,19879591144.0,3393999339.0,5754616934906.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.812.299.961.649,2.890.276.671.391,98.763.871.687,20.181.013.544,11.120.983.378,4.832.642.501.649,1812299961649.0,2890276671391.0,98763871687.0,20181013544.0,11120983378.0,4832642501649.0
