row_label_raw,row_label_full,col_0,1/10/2022VND,Số đã cán trừVND,Số đã nộpVND,Số phân loại lạiVND,30/9/2023VND,numeric__1/10/2022VND,numeric__Số đã cán trừVND,numeric__Số đã nộpVND,numeric__Số phân loại lạiVND,numeric__30/9/2023VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,136.009.720.908,(7.511.348.460),-,128.498.372.448,,136009720908.0,-7511348460.0,,128498372448.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,63.672.135,(58.866.713),146.537.657,151.343.079,,63672135.0,-58866713.0,146537657.0,151343079.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,949.369,(949.369),-,-,,949369.0,-949369.0,,,
,,,136.074.342.412,(7.571.164.542),146.537.657,128.649.715.527,,136074342412.0,-7571164542.0,146537657.0,128649715527.0,
(b) Thuế phải nộp Nhà nước,(b) Thuế phải nộp Nhà nước,(b) Thuế phải nộp Nhà nước,(b) Thuế phải nộp Nhà nước,(b) Thuế phải nộp Nhà nước,(b) Thuế phải nộp Nhà nước,(b) Thuế phải nộp Nhà nước,(b) Thuế phải nộp Nhà nước,,,,,
,,,1/10/2022VND,Số phải nộpVND,Số đã cán trừVND,Số đã nộpVND,30/9/2023VND,,,,,
Thuế giá trị gia tăng,(b) Thuế phải nộp Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,67.012.290.644,8.355.409.913.567,(7.331.435.375.240),(936.942.725.117),154.044.103.854,67012290644.0,8355409913567.0,-7331435375240.0,-936942725117.0,154044103854.0
Thuế xuất nhập khẩu,(b) Thuế phải nộp Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,79.574.109,4.359.894.641,-,(4.407.493.829),31.974.921,79574109.0,4359894641.0,,-4407493829.0,31974921.0
Thuế thu nhập doanh nghiệp,(b) Thuế phải nộp Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,11.811.010.823,64.666.147.735,(7.511.348.460),(54.101.428.379),14.864.381.719,11811010823.0,64666147735.0,-7511348460.0,-54101428379.0,14864381719.0
Thuế thu nhập cá nhân,(b) Thuế phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.662.455.482,34.748.149.632,-,(35.389.641.356),2.167.501.415,2662455482.0,34748149632.0,,-35389641356.0,2167501415.0
Thuế khác,(b) Thuế phải nộp Nhà nước > Thuế khác,Thuế khác,471.360,11.795.072.434,(949.369),(11.054.134.238),740.460.187,471360.0,11795072434.0,-949369.0,-11054134238.0,740460187.0
,,,81.565.802.418,8.470.979.178.009,(7.338.947.673.069),(1.041.895.422.919),171.848.422.096,81565802418.0,8470979178009.0,-7338947673069.0,-1041895422919.0,171848422096.0
