row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2023 VND,Năm kết thúc ngày > 30/9/2022 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2023 VND,numeric__Năm kết thúc ngày > 30/9/2022 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,26,32.084.297.693.056,50.090.135.318.501,1.0,26.0,32084297693056.0,50090135318501.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,26,433.636.736.406,379.499.367.034,2.0,26.0,433636736406.0,379499367034.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,26,31.650.660.956.650,49.710.635.951.467,10.0,26.0,31650660956650.0,49710635951467.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,27,28.590.018.867.006,44.771.944.789.711,11.0,27.0,28590018867006.0,44771944789711.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,3.060.642.089.644,4.938.691.161.756,20.0,,3060642089644.0,4938691161756.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,28,233.474.915.968,266.806.826.568,21.0,28.0,233474915968.0,266806826568.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,29,314.154.742.246,520.873.319.472,22.0,29.0,314154742246.0,520873319472.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,195.489.503.107,260.241.924.339,23.0,,195489503107.0,260241924339.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,30,2.476.864.155.543,3.832.642.500.065,25.0,30.0,2476864155543.0,3832642500065.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,31,406.967.911.274,522.227.362.422,26.0,31.0,406967911274.0,522227362422.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,96.130.196.549,329.754.806.365,30.0,,96130196549.0,329754806365.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,32,51.053.143.467,58.502.790.706,31.0,32.0,51053143467.0,58502790706.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,1.160.780.453,7.128.135.611,32.0,,1160780453.0,7128135611.0
Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),40,,49.892.363.014,51.374.655.095,40.0,,49892363014.0,51374655095.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,146.022.559.563,381.129.461.460,50.0,,146022559563.0,381129461460.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,34,64.666.147.735,94.121.510.013,51.0,34.0,64666147735.0,94121510013.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,34,51.294.067.926,35.687.644.963,52.0,34.0,51294067926.0,35687644963.0
Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),60,,30.062.343.902,251.320.306.484,60.0,,30062343902.0,251320306484.0
