row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm kết thúc ngày > 30/9/2023 VND,Năm kết thúc ngày > 30/9/2022 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm kết thúc ngày > 30/9/2023 VND,numeric__Năm kết thúc ngày > 30/9/2022 VND
LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,,146.022.559.563,381.129.461.460,1.0,,146022559563.0,381129461460.0
Khấu hao và phân bổ,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,1.130.700.951.016,1.159.936.099.089,2.0,,1130700951016.0,1159936099089.0
Các khoản dự phòng,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,(586.365.813.878),507.142.813.860,3.0,,-586365813878.0,507142813860.0
Lãi chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Lãi chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,(1.827.471.514),(4.628.540.304),4.0,,-1827471514.0,-4628540304.0
Lãi từ hoạt động đầu tư,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(10.332.343.999),(26.083.512.624),5.0,,-10332343999.0,-26083512624.0
Chi phí lãi vay,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,,195.489.503.107,260.241.924.339,6.0,,195489503107.0,260241924339.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,873.687.384.295,2.277.738.245.820,8.0,,873687384295.0,2277738245820.0
Biến động các khoản phải thu và các tài sản khác,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và các tài sản khác,Biến động các khoản phải thu và các tài sản khác,09,,(786.168.440.314),3.842.273.521.768,9.0,,-786168440314.0,3842273521768.0
Biến động hàng tồn kho,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,354.598.706.273,4.445.002.462.715,10.0,,354598706273.0,4445002462715.0
Biến động các khoản phải trả và nợ phải trả khác,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,1.843.192.008.584,(6.956.019.847.718),11.0,,1843192008584.0,-6956019847718.0
Biến động chi phí trả trước,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,23.499.333.445,4.410.046.030,12.0,,23499333445.0,4410046030.0
,,,,,2.308.808.992.283,3.613.404.428.615,,,2308808992283.0,3613404428615.0
Tiền lãi vay đã trả,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(197.384.202.217),(267.259.703.670),14.0,,-197384202217.0,-267259703670.0
Thuế thu nhập doanh nghiệp đã nộp,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(54.101.428.379),(384.553.756.705),15.0,,-54101428379.0,-384553756705.0
Tiền chi khác cho hoạt động kinh doanh,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(191.696.191.456),(117.030.852.331),17.0,,-191696191456.0,-117030852331.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LUÙ CHUYÊN TIỀN TÙ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.865.627.170.231,2.844.560.115.909,20.0,,1865627170231.0,2844560115909.0
