row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,585.876.092.207,480.360.425.206,100.0,,585876092207.0,480360425206.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,332.397.641.629,216.024.629.908,110.0,5.0,332397641629.0,216024629908.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,76.505.141.629,82.525.735.897,111.0,,76505141629.0,82525735897.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,255.892.500.000,133.498.894.011,112.0,,255892500000.0,133498894011.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,78.525.947.673,52.105.720.000,120.0,,78525947673.0,52105720000.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,6(a),78.525.947.673,52.105.720.000,123.0,,78525947673.0,52105720000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,92.980.974.388,158.634.297.205,130.0,,92980974388.0,158634297205.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,81.639.368.446,93.888.427.203,131.0,7.0,81639368446.0,93888427203.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,4.145.522.828,49.081.186.818,132.0,,4145522828.0,49081186818.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,,8.229.320.448,16.721.618.438,136.0,,8229320448.0,16721618438.0
Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,,(1.033.237.334),(1.056.935.254),137.0,,-1033237334.0,-1056935254.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,8,9.960.417.201,7.338.432.080,140.0,8.0,9960417201.0,7338432080.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,9.960.417.201,7.338.432.080,141.0,,9960417201.0,7338432080.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,72.011.111.316,46.257.346.013,150.0,,72011111316.0,46257346013.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,1.183.023.513,1.139.830.264,151.0,,1183023513.0,1139830264.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,14(a),70.824.298.690,45.117.515.749,152.0,,70824298690.0,45117515749.0
Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,,3.789.113,-,153.0,,3789113.0,
