row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tài chính VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tài chính VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,288.126.500.000,37.231.904.775,(10.396.631.245),310.151.868.629,24.038.502.000,234.372.392.678,-,883.524.536.837,288126500000.0,37231904775.0,-10396631245.0,310151868629.0,24038502000.0,234372392678.0,,883524536837.0
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,-,157.500.000.000,157.500.000.000,,,,,,,157500000000.0,157500000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,248.083.625.557,-,248.083.625.557,,,,,,248083625557.0,,248083625557.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,96.376.199.402,4.774.148.000,(101.150.347.402),-,-,,,,96376199402.0,4774148000.0,-101150347402.0,,
Phân bổ vào quỹ,Phân bổ vào quỹ,Phân bổ vào quỹ,,,,,,,,,,,,,,,,
"khen thưởng, phúc lợi","Phân bổ vào quỹ > khen thưởng, phúc lợi","khen thưởng, phúc lợi",-,-,-,-,-,(22.864.637.509),-,(22.864.637.509),,,,,,-22864637509.0,,-22864637509.0
Cổ tức,Phân bổ vào quỹ > Cổ tức,Cổ tức,57.288.910.000,-,-,-,-,(105.986.876.000),-,(48.697.966.000),57288910000.0,,,,,-105986876000.0,,-48697966000.0
Thường Hội đồng Quản trị và Ban kiểm soát,Phân bổ vào quỹ > Thường Hội đồng Quản trị và Ban kiểm soát,Thường Hội đồng Quản trị và Ban kiểm soát,-,-,-,-,-,(1.665.000.000),-,(1.665.000.000),,,,,,-1665000000.0,,-1665000000.0
Số dư tại ngày 31/12/2014,Phân bổ vào quỹ > Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,345.415.410.000,37.231.904.775,(10.396.631.245),406.528.068.031,28.812.650.000,250.789.157.324,157.500.000.000,1.215.880.558.885,345415410000.0,37231904775.0,-10396631245.0,406528068031.0,28812650000.0,250789157324.0,157500000000.0,1215880558885.0
Phân loại lại (Thuyết minh 33),Phân bổ vào quỹ > Phân loại lại (Thuyết minh 33),Phân loại lại (Thuyết minh 33),-,-,-,28.812.650.000,(28.812.650.000),-,-,-,,,,28812650000.0,-28812650000.0,,,
Số dư tại ngày 1/1/2015 - Đã phân loại lại,Phân bổ vào quỹ > Số dư tại ngày 1/1/2015 - Đã phân loại lại,Số dư tại ngày 1/1/2015 - Đã phân loại lại,345.415.410.000,37.231.904.775,(10.396.631.245),435.340.718.031,-,250.789.157.324,157.500.000.000,1.215.880.558.885,345415410000.0,37231904775.0,-10396631245.0,435340718031.0,,250789157324.0,157500000000.0,1215880558885.0
Góp vốn,Phân bổ vào quỹ > Góp vốn,Góp vốn,-,-,-,-,-,-,10.675.000.000,10.675.000.000,,,,,,,10675000000.0,10675000000.0
Lợi nhuận thuần trong năm,Phân bổ vào quỹ > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,279.258.328.386,(2.568.881.030),276.689.447.356,,,,,,279258328386.0,-2568881030.0,276689447356.0
Phân bổ vào các quỹ,Phân bổ vào quỹ > Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,102.223.212.241,-,(102.223.212.241),-,-,,,,102223212241.0,,-102223212241.0,,
Phát hành lại cổ phiếu quỹ,Phân bổ vào quỹ > Phát hành lại cổ phiếu quỹ,Phát hành lại cổ phiếu quỹ,-,(1.090.013.529),10.396.631.245,-,-,-,-,9.306.617.716,,-1090013529.0,10396631245.0,,,,,9306617716.0
Phân bổ vào quỹ,Phân bổ vào quỹ,Phân bổ vào quỹ,,,,,,,,,,,,,,,,
"khen thưởng, phúc lợi","Phân bổ vào quỹ > khen thưởng, phúc lợi","khen thưởng, phúc lợi",-,-,-,-,-,(23.881.991.816),-,(23.881.991.816),,,,,,-23881991816.0,,-23881991816.0
Cổ tức (Thuyết minh 20),Phân bổ vào quỹ > Cổ tức (Thuyết minh 20),Cổ tức (Thuyết minh 20),68.745.010.000,-,-,-,-,(127.348.522.500),-,(58.603.512.500),68745010000.0,,,,,-127348522500.0,,-58603512500.0
Thường Hội đồng quản trị và Ban kiểm soát,Phân bổ vào quỹ > Thường Hội đồng quản trị và Ban kiểm soát,Thường Hội đồng quản trị và Ban kiểm soát,-,-,-,-,-,(1.776.000.000),-,(1.776.000.000),,,,,,-1776000000.0,,-1776000000.0
Biến động khác,Phân bổ vào quỹ > Biến động khác,Biến động khác,-,-,-,-,-,15.103.581,2.867.146.419,2.882.250.000,,,,,,15103581.0,2867146419.0,2882250000.0
Số dư tại ngày 31/12/2015,Phân bổ vào quỹ > Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,414.160.420.000,36.141.891.246,-,537.563.930.272,-,274.832.862.734,168.473.265.389,1.431.172.369.641,414160420000.0,36141891246.0,,537563930272.0,,274832862734.0,168473265389.0,1431172369641.0
