row_label_raw,row_label_full,col_0,Nhà cửa VND,Dụng cụ văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Dụng cụ văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,307.762.585.560,4.211.149.618,11.206.690.164,435.132.645.218,758.313.070.560,307762585560.0,4211149618.0,11206690164.0,435132645218.0,758313070560.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6.210.749.091,-,2.046.568.008,25.860.660.634,34.117.977.733,6210749091.0,,2046568008.0,25860660634.0,34117977733.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,229.964.824.336,4.500.111.420,19.842.905.926,338.055.819.657,592.363.661.339,229964824336.0,4500111420.0,19842905926.0,338055819657.0,592363661339.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(81.100.000),-,-,(27.794.740.095),(27.875.840.095),-81100000.0,,,-27794740095.0,-27875840095.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(125.816.818),-,-,(125.816.818),,-125816818.0,,,-125816818.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,543.857.058.987,8.585.444.220,33.096.164.098,771.254.385.414,1.356.793.052.719,543857058987.0,8585444220.0,33096164098.0,771254385414.0,1356793052719.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,118.380.978.700,1.662.993.426,4.128.523.135,229.482.039.545,353.654.534.806,118380978700.0,1662993426.0,4128523135.0,229482039545.0,353654534806.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.486.899.789,922.574.949,2.696.270.014,41.213.043.505,70.318.788.257,25486899789.0,922574949.0,2696270014.0,41213043505.0,70318788257.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(79.663.595),-,-,(11.595.629.134),(11.675.292.729),-79663595.0,,,-11595629134.0,-11675292729.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(125.816.818),-,-,(125.816.818),,-125816818.0,,,-125816818.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,143.788.214.894,2.459.751.557,6.824.793.149,259.099.453.916,412.172.213.516,143788214894.0,2459751557.0,6824793149.0,259099453916.0,412172213516.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,189.381.606.860,2.548.156.192,7.078.167.029,205.650.605.673,404.658.535.754,189381606860.0,2548156192.0,7078167029.0,205650605673.0,404658535754.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,400.068.844.093,6.125.692.663,26.271.370.949,512.154.931.498,944.620.839.203,400068844093.0,6125692663.0,26271370949.0,512154931498.0,944620839203.0
