row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2015VND,2014VND,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty TNHH Ngôi sao Xanh Tương lai,Công ty TNHH Ngôi sao Xanh Tương lai,Công ty TNHH Ngôi sao Xanh Tương lai,Công ty TNHH Ngôi sao Xanh Tương lai,Công ty TNHH Ngôi sao Xanh Tương lai,,
Cung cấp dịch vụ,Công ty TNHH Ngôi sao Xanh Tương lai > Cung cấp dịch vụ,Cung cấp dịch vụ,5.146.333.800,-,5146333800.0,
Sử dụng dịch vụ,Công ty TNHH Ngôi sao Xanh Tương lai > Sử dụng dịch vụ,Sử dụng dịch vụ,44.990.000,779.184.000,44990000.0,779184000.0
Cổ tức,Công ty TNHH Ngôi sao Xanh Tương lai > Cổ tức,Cổ tức,1.326.519.314,-,1326519314.0,
Công ty Cổ phần Căng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Căng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Căng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Căng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Căng dịch vụ Dầu khí Đình Vũ,,
Sử dụng dịch vụ,Công ty Cổ phần Căng dịch vụ Dầu khí Đình Vũ > Sử dụng dịch vụ,Sử dụng dịch vụ,70.157.447.736,67.828.811.551,70157447736.0,67828811551.0
Công ty Cổ phần Logistics Căng Đà Nẵng,Công ty Cổ phần Logistics Căng Đà Nẵng,Công ty Cổ phần Logistics Căng Đà Nẵng,Công ty Cổ phần Logistics Căng Đà Nẵng,Công ty Cổ phần Logistics Căng Đà Nẵng,,
Sử dụng dịch vụ,Công ty Cổ phần Logistics Căng Đà Nẵng > Sử dụng dịch vụ,Sử dụng dịch vụ,432.922.460,-,432922460.0,
Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,Thành viên Ban Giám đốc,,
Tiền lương và thường,Thành viên Ban Giám đốc > Tiền lương và thường,Tiền lương và thường,2.358.546.699,2.435.322.172,2358546699.0,2435322172.0
Thành viên Hội đồng Quản trị và Ban kiểm soát,Thành viên Hội đồng Quản trị và Ban kiểm soát,Thành viên Hội đồng Quản trị và Ban kiểm soát,Thành viên Hội đồng Quản trị và Ban kiểm soát,Thành viên Hội đồng Quản trị và Ban kiểm soát,,
Thù lao,Thành viên Hội đồng Quản trị và Ban kiểm soát > Thù lao,Thù lao,1.776.000.000,1.665.000.000,1776000000.0,1665000000.0
