row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2015 VND,2014 VND Đã trình bày lại,numeric__Mã số,numeric__Thuyết minh,numeric__2015 VND,numeric__2014 VND Đã trình bày lại
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,01,23,927.822.760.012,891.241.921.351,1.0,23.0,927822760012.0,891241921351.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,,557.307.986.061,579.451.901.239,11.0,,557307986061.0,579451901239.0
Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),20,,370.514.773.951,311.790.020.112,20.0,,370514773951.0,311790020112.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,24,14.460.099.360,16.159.561.451,21.0,24.0,14460099360.0,16159561451.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,25,1.659.116.790,(7.765.982.197),22.0,25.0,1659116790.0,-7765982197.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,913.027.313,413.615.830,23.0,,913027313.0,413615830.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,24,,10.040.909.479,13.318.106.855,24.0,,10040909479.0,13318106855.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,,8.068.991.481,2.959.342.385,25.0,,8068991481.0,2959342385.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,,41.175.942.511,45.094.326.936,26.0,,41175942511.0,45094326936.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,344.111.732.008,300.980.001.294,30.0,,344111732008.0,300980001294.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,26,4.559.829.591,1.638.992.841,31.0,26.0,4559829591.0,1638992841.0
Chi phí khác,Chi phí khác,Chi phí khác,32,27,2.543.918.564,221.642.013,32.0,27.0,2543918564.0,221642013.0
Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),40,,2.015.911.027,1.417.350.828,40.0,,2015911027.0,1417350828.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,346.127.643.035,302.397.352.122,50.0,,346127643035.0,302397352122.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,29,69.438.195.679,54.313.726.565,51.0,29.0,69438195679.0,54313726565.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),60,,276.689.447.356,248.083.625.557,60.0,,276689447356.0,248083625557.0
Phân bổ:,Phân bổ:,Phân bổ:,,,,,,,,
Lợi nhuận sau thuế của cổ đông của công ty mẹ,Phân bổ: > Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,61,,279.258.328.386,248.083.625.557,61.0,,279258328386.0,248083625557.0
Lỗ sau thuế của cổ đông không kiểm soát,Phân bổ: > Lỗ sau thuế của cổ đông không kiểm soát,Lỗ sau thuế của cổ đông không kiểm soát,62,,(2.568.881.030),-,62.0,,-2568881030.0,
Lãi cơ bản trên cổ phiếu,Phân bổ: > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,30,6.282,Đã điều chỉnh lại 5.413,70.0,30.0,6282.0,
