row_label_raw,row_label_full,col_0,Mãsố,2015VND,2014VNDĐã trình bày lại,numeric__Mãsố,numeric__2015VND,numeric__2014VNDĐã trình bày lại
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,346.127.643.035,302.397.352.122,1.0,346127643035.0,302397352122.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,
Khấu hao và phân bổ,Điều chỉnh cho các khoản > Khấu hao và phân bổ,Khấu hao và phân bổ,02,89.728.845.499,73.375.693.509,2.0,89728845499.0,73375693509.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,(23.697.920),(8.265.067.152),3.0,-23697920.0,-8265067152.0
Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại,,,,,,
các khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > các khoản mục tiền tệ có gốc ngoại tệ,các khoản mục tiền tệ có gốc ngoại tệ,04,(205.827.859),(50.704.960),4.0,-205827859.0,-50704960.0
Lãi từ hoạt động đầu tư,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(23.914.965.607),(28.562.561.333),5.0,-23914965607.0,-28562561333.0
Chi phí lãi vay,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Chi phí lãi vay,Chi phí lãi vay,06,913.027.313,413.615.830,6.0,913027313.0,413615830.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,412.625.024.461,339.308.328.016,8.0,412625024461.0,339308328016.0
Biến động các khoản phải thu,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Biến động các khoản phải thu,Biến động các khoản phải thu,09,18.953.150.761,17.112.686.083,9.0,18953150761.0,17112686083.0
Biến động hàng tồn kho,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(2.621.985.121),2.984.366.263,10.0,-2621985121.0,2984366263.0
Biến động các khoản phải trả và nợ phải trả khác,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,(18.123.549.782),(37.877.948.238),11.0,-18123549782.0,-37877948238.0
Biến động chi phí trả trước,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Biến động chi phí trả trước,Biến động chi phí trả trước,12,9.087.816.760,(6.394.763.144),12.0,9087816760.0,-6394763144.0
,,,,419.920.457.079,315.132.668.980,,419920457079.0,315132668980.0
Tiền lãi vay đã trả,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(989.541.530),(432.032.373),14.0,-989541530.0,-432032373.0
Thuế thu nhập doanh nghiệp đã nộp,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(72.398.180.449),(52.754.292.128),15.0,-72398180449.0,-52754292128.0
Tiền thu khác từ hoạt động kinh doanh,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,4.368.070.782,(1.362.635.071),16.0,4368070782.0,-1362635071.0
Tiền chi khác cho hoạt động kinh doanh,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(30.794.302.379),(24.158.923.124),17.0,-30794302379.0,-24158923124.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,320.106.503.503,236.424.786.284,20.0,320106503503.0,236424786284.0
