row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bảng cân đối kế toán riêng,numeric__Bảng cân đối kế toán riêng_1,numeric__Báo cáo kết quả hoạt động kinh doanh riêng,numeric__Báo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,4.801.168.528,5.172.990.582,(371.822.054),(409.420.712),4801168528.0,5172990582.0,-371822054.0,-409420712.0
Chi phí lãi vay,Tài sản thuế TNDN hoãn lại > Chi phí lãi vay,Chi phí lãi vay,647.954.204,855.047.802,(207.093.598),(85.504.783),647954204.0,855047802.0,-207093598.0,-85504783.0
Dự phòng,Tài sản thuế TNDN hoãn lại > Dự phòng,Dự phòng,-,-,-,(376.592.779),,,,-376592779.0
Chênh lệch giá vốn hàng bán,Tài sản thuế TNDN hoãn lại > Chênh lệch giá vốn hàng bán,Chênh lệch giá vốn hàng bán,1.583.385.029,526.431.061,1.056.953.968,526.431.061,1583385029.0,526431061.0,1056953968.0,526431061.0
,,,7.032.507.761,6.554.469.445,,,7032507761.0,6554469445.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Lỗ thuế hoãn lại,Thuế TNDN hoãn lại phải trả > Lỗ thuế hoãn lại,Lỗ thuế hoãn lại,(2.696.372.479),(2.696.372.478),-,204.284.927,-2696372479.0,-2696372478.0,,204284927.0
Chênh lệch giá vốn hàng bán,Thuế TNDN hoãn lại phải trả > Chênh lệch giá vốn hàng bán,Chênh lệch giá vốn hàng bán,-,(6.345.480.360),6.345.480.360,1.874.631.176,,-6345480360.0,6345480360.0,1874631176.0
,,,(2.696.372.479),(9.041.852.838),,,-2696372479.0,-9041852838.0,,
Thu nhập thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,6.823.518.676,1.733.828.890,,,6823518676.0,1733828890.0
