row_label_raw,row_label_full,Bên liên quan > Nam Khang > Sản Giao Dịch Nam Long,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Chi phí dịch vụ xây dựng > Chuyển nhượng cổ phần > Thu nhập cổ tức > Dịch vụ tư vấn quản lf > Chi phí cổ tức > Thu tiền thanh lý HĐHTKD > Chi phí hoa hồng > Dịch vụ tư vấn quản lf,Năm nay > 540.070.049.783 > 19.321.453.583 > 17.400.000.000 > 5.679.339.537 > 4.694.563.130 > - > 52.720.136.052 > 918.037.127,VNDNăm trước > 627.891.387.364 > 210.190.285.204 > 40.600.000.000 > 7.411.520.224 > 2.990.995.900 > 210.190.260.000 > 59.946.944.140 > 1.272.717.496,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Chi phí dịch vụ xây dựng > Chuyển nhượng cổ phần > Thu nhập cổ tức > Dịch vụ tư vấn quản lf > Chi phí cổ tức > Thu tiền thanh lý HĐHTKD > Chi phí hoa hồng > Dịch vụ tư vấn quản lf,numeric__Năm nay > 540.070.049.783 > 19.321.453.583 > 17.400.000.000 > 5.679.339.537 > 4.694.563.130 > - > 52.720.136.052 > 918.037.127,numeric__VNDNăm trước > 627.891.387.364 > 210.190.285.204 > 40.600.000.000 > 7.411.520.224 > 2.990.995.900 > 210.190.260.000 > 59.946.944.140 > 1.272.717.496
Nguyên Phúc,Nguyên Phúc,Nguyên Phúc,Công ty con,Doanh thu thi công xây dựng,187.874.316.464,176.650.818.181,,,187874316464.0,176650818181.0
Nguyên Phúc,Nguyên Phúc,Nguyên Phúc,Công ty con,Rút vốn,65.000.000.000,-,,,65000000000.0,
Nguyên Phúc,Nguyên Phúc,Nguyên Phúc,Công ty con,Lãi phạt do thanh toán chậm,4.926.000.000,-,,,4926000000.0,
Nam Viên,Nam Viên,Nam Viên,Công ty con gián tiếp,Chi phí dịch vụ xây dựng,3.169.213.551,2.604.137.952,,,3169213551.0,2604137952.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Lãi cho vay Cho vay Góp vốn,22.008.741.542,23.949.720.002,,,22008741542.0,23949720002.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Lãi cho vay Cho vay Góp vốn,17.300.000.000,-,,,17300000000.0,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Lãi cho vay Cho vay Góp vốn,2.943.400.000,21.200.000.000,,,2943400000.0,21200000000.0
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Mua cổ phần Vay Góp vốn HĐHTKD,288.191.260.000,-,,,288191260000.0,
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Mua cổ phần Vay Góp vốn HĐHTKD,270.000.000.000,-,,,270000000000.0,
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Mua cổ phần Vay Góp vốn HĐHTKD,-,35.159.600.000,,,,35159600000.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Vay Góp vốn,205.000.000.000,40.000.000.000,,,205000000000.0,40000000000.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Vay Góp vốn,111.640.000.000,-,,,111640000000.0,
Nam Phan,Nam Phan,Nam Phan,Công ty con,Hoàn tiền vay Chi phí lãi vay Góp vốn HĐHTKD,27.000.000.000,30.000.000.000,,,27000000000.0,30000000000.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Hoàn tiền vay Chi phí lãi vay Góp vốn HĐHTKD,4.573.472.222,3.043.333.333,,,4573472222.0,3043333333.0
Nam Phan,Nam Phan,Nam Phan,Công ty con,Hoàn tiền vay Chi phí lãi vay Góp vốn HĐHTKD,-,39.702.732.804,,,,39702732804.0
Nam Long - Hồng Phát,Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Cho vay Thu tiền nợ vay Góp vốn đầu tư Doanh thu lãi cho vay,30.000.000.000,-,,,30000000000.0,
Nam Long - Hồng Phát,Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Cho vay Thu tiền nợ vay Góp vốn đầu tư Doanh thu lãi cho vay,10.000.000.000,-,,,10000000000.0,
Nam Long - Hồng Phát,Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Cho vay Thu tiền nợ vay Góp vốn đầu tư Doanh thu lãi cho vay,9.178.000.000,11.816.600.000,,,9178000000.0,11816600000.0
Nam Long - Hồng Phát,Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Cho vay Thu tiền nợ vay Góp vốn đầu tư Doanh thu lãi cho vay,1.163.888.889,-,,,1163888889.0,
NLG – NNR – HR Fuji,NLG – NNR – HR Fuji,NLG – NNR – HR Fuji,Công ty con,Doanh thu tổng thầu Góp vốn,395.719.455.000,-,,,395719455000.0,
NLG – NNR – HR Fuji,NLG – NNR – HR Fuji,NLG – NNR – HR Fuji,Công ty con,Doanh thu tổng thầu Góp vốn,211.240.000.000,-,,,211240000000.0,
Kikyo Flora,Kikyo Flora,Kikyo Flora,Công ty con,Góp vốn,50.312.790.000,-,,,50312790000.0,
Kikyo Valora,Kikyo Valora,Kikyo Valora,Công ty con,Góp vốn,196.020.000.000,-,,,196020000000.0,
