row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 6),Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 6),Số cuối năm > Phải thu khách hàng (Thuyết minh số 6),Số đầu năm > Phải thu khách hàng (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 6),numeric__Số cuối năm > Phải thu khách hàng (Thuyết minh số 6),numeric__Số đầu năm > Phải thu khách hàng (Thuyết minh số 6)
NLG – NNR – HR Fujii,NLG – NNR – HR Fujii,NLG – NNR – HR Fujii,Công ty con,Phí dịch vụ tổng thầu Phí dịch vụ thuê văn phòng,52.213.562.500,-,,,52213562500.0,
NLG – NNR – HR Fujii,NLG – NNR – HR Fujii,NLG – NNR – HR Fujii,Công ty con,Phí dịch vụ tổng thầu Phí dịch vụ thuê văn phòng,-,1.143.509.192,,,,1143509192.0
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,Phí dịch vụ tư vấn quản lý,9.599.599.723,9.599.599.723,,,9599599723.0,9599599723.0
Nam Khang,Nam Khang,Nam Khang,Công ty con,Phí dịch vụ tư vấn quản lý,6.215.923.491,8.152.672.246,,,6215923491.0,8152672246.0
Nguyên Phúc,Nguyên Phúc,Nguyên Phúc,Công ty con,"Lãi phát chậm nộp Phí dịch vụ thi công, tư vấn phát triển dự án",4.926.000.000,-,,,4926000000.0,
Nguyên Phúc,Nguyên Phúc,Nguyên Phúc,Công ty con,"Lãi phát chậm nộp Phí dịch vụ thi công, tư vấn phát triển dự án",2.881.109.110,28.175.900.000,,,2881109110.0,28175900000.0
Sàn Giao Dịch Nam Long,Sàn Giao Dịch Nam Long,Sàn Giao Dịch Nam Long,Công ty con,Phí dịch vụ tư vấn quản lý Phí dịch vụ thuê văn phòng,1.009.840.840,1.367.428.951,,,1009840840.0,1367428951.0
Sàn Giao Dịch Nam Long,Sàn Giao Dịch Nam Long,Sàn Giao Dịch Nam Long,Công ty con,Phí dịch vụ tư vấn quản lý Phí dịch vụ thuê văn phòng,-,589.475.700,,,,589475700.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Phí dịch vụ tư vấn quản lý Phí dịch vụ thuê văn phòng,733.212.590,733.212.590,,,733212590.0,733212590.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Phí dịch vụ tư vấn quản lý Phí dịch vụ thuê văn phòng,618.529.275,618.529.275,,,618529275.0,618529275.0
Bà Ngô Thị Ngọc Liễu,Bà Ngô Thị Ngọc Liễu,Bà Ngô Thị Ngọc Liễu,Bên liên quan,Bán căn hộ,110.005.097,155.976.987,,,110005097.0,155976987.0
Bà Nguyễn Thị Bích Ngọc,Bà Nguyễn Thị Bích Ngọc,Bà Nguyễn Thị Bích Ngọc,Bên liên quan,Bán căn hộ,231.750.000,231.750.000,,,231750000.0,231750000.0
Nam Long – Hồng Phát,Nam Long – Hồng Phát,Nam Long – Hồng Phát,Công ty con,Phí dịch vụ tư vấn quản lý,135.451.256,135.451.256,,,135451256.0,135451256.0
,,,,,78.674.983.882,50.903.505.920,,,78674983882.0,50903505920.0
