row_label_raw,row_label_full,Công ty,Địa điểm,Ngành nghề kinh doanh,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
"Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long (""Nam Long PMD"")","Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long (""Nam Long PMD"")","Công ty TNHH MTV Quản lý và Khai thác Bắt Động Sản Nam Long (""Nam Long PMD"")","Tp. Hồ Chí Minh (""TPHCM"")",Xây dựng và bất động sản,,
"Công ty Cổ phần Dịch vụ Nam Long (""Dịch vụ Nam Long"")","Công ty Cổ phần Dịch vụ Nam Long (""Dịch vụ Nam Long"")","Công ty Cổ phần Dịch vụ Nam Long (""Dịch vụ Nam Long"")",TPHCM,Dịch vụ và xây lắp,,
"Công ty Cổ phần Nam Long - Hồng Phát (""Nam Long – Hồng Phát"")","Công ty Cổ phần Nam Long - Hồng Phát (""Nam Long – Hồng Phát"")","Công ty Cổ phần Nam Long - Hồng Phát (""Nam Long – Hồng Phát"")",Tp. Cần Thơ,Xây dựng và bất động sản,,
"Công ty Cổ phần Bắt Động Sản Nguyên Sơn (""Nguyên Sơn"")","Công ty Cổ phần Bắt Động Sản Nguyên Sơn (""Nguyên Sơn"")","Công ty Cổ phần Bắt Động Sản Nguyên Sơn (""Nguyên Sơn"")",TPHCM,Bắt động sản,,
"Công ty Cổ phần Phát triển Căn hộ Nam Long (""Nam Long ADC"")","Công ty Cổ phần Phát triển Căn hộ Nam Long (""Nam Long ADC"")","Công ty Cổ phần Phát triển Căn hộ Nam Long (""Nam Long ADC"")",TPHCM,Xây dựng và bất động sản,,
"Công ty TNHH Một thành viên Sàn giao dịch Bắt động sản Nam Long (""Sàn Giao Dịch Nam Long"")","Công ty TNHH Một thành viên Sàn giao dịch Bắt động sản Nam Long (""Sàn Giao Dịch Nam Long"")","Công ty TNHH Một thành viên Sàn giao dịch Bắt động sản Nam Long (""Sàn Giao Dịch Nam Long"")",TPHCM,Sàn giao dịch bất động sản,,
"Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang (""Nam Khang"")","Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang (""Nam Khang"")","Công ty TNHH Một thành viên Đầu tư Xây dựng Phát triển Nam Khang (""Nam Khang"")",TPHCM,Xây dựng và bất động sản,,
"Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên (""Nam Viên"")","Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên (""Nam Viên"")","Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên (""Nam Viên"")",TPHCM,Dịch vụ,,
"Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang (""Xây Dựng Nam Khang"")","Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang (""Xây Dựng Nam Khang"")","Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang (""Xây Dựng Nam Khang"")",TPHCM,Kinh doanh thương mại vật liệu xây dựng,,
"Công ty Cổ phần Nam Long VCD (""Nam Long VCD"")","Công ty Cổ phần Nam Long VCD (""Nam Long VCD"")","Công ty Cổ phần Nam Long VCD (""Nam Long VCD"")",Tỉnh Long An,Xây dựng và bất động sản,,
"Công ty Cổ phần Đầu tư Nam Phan (""Nam Phan"")","Công ty Cổ phần Đầu tư Nam Phan (""Nam Phan"")","Công ty Cổ phần Đầu tư Nam Phan (""Nam Phan"")",TPHCM,Xây dựng và bất động sản,,
"Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Nguyên Phúc (""Nguyên Phúc"")","Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Nguyên Phúc (""Nguyên Phúc"")","Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Nguyên Phúc (""Nguyên Phúc"")",TPHCM,Bắt động sản,,
"Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Thảo Nguyên (""Thảo Nguyên"")","Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Thảo Nguyên (""Thảo Nguyên"")","Công ty TNHH Kinh Doanh và Đầu Tư Bắt Động Sản Thảo Nguyên (""Thảo Nguyên"")",TPHCM,Bắt động sản,,
"Công ty TNHH NLG – NNR – HR Fuji (""NLG – NNR – HR Fuji"")","Công ty TNHH NLG – NNR – HR Fuji (""NLG – NNR – HR Fuji"")","Công ty TNHH NLG – NNR – HR Fuji (""NLG – NNR – HR Fuji"")",TPHCM,Xây dựng và bất động sản,,
"Công ty TNHH NNH Kikyo Flora (""Kikyo Flora"")","Công ty TNHH NNH Kikyo Flora (""Kikyo Flora"")","Công ty TNHH NNH Kikyo Flora (""Kikyo Flora"")",TPHCM,Bắt động sản,,
"Công ty TNHH NNH Kikyo Valora (""Kikyo Valora"")","Công ty TNHH NNH Kikyo Valora (""Kikyo Valora"")","Công ty TNHH NNH Kikyo Valora (""Kikyo Valora"")",TPHCM,Bắt động sản,,
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,
"Công ty TNHH Phát triển Gamuda - Nam Long (""Gamuda – Nam Long"")","Công ty TNHH Phát triển Gamuda - Nam Long (""Gamuda – Nam Long"")","Công ty TNHH Phát triển Gamuda - Nam Long (""Gamuda – Nam Long"")",TPHCM,Bắt động sản,,
