row_label_raw,row_label_full,Bên liên quan > Phải thu khác (Thuyết minh số 8) > Nam Long VCD > Nam Phan,Mối quan hệ > Phải thu khác (Thuyết minh số 8) > Công ty con,Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 8) > Chi phí lãi vayThanh lý công cụ dụng cụ > Thu hồi vốn góp BCC,Số cuối năm > Phải thu khác (Thuyết minh số 8) > 84.544.967.287 > 2.197.028.413 > 18.000.000.000,Số đầu năm > Phải thu khác (Thuyết minh số 8) > 62.536.225.745 > 2.197.028.413 > 18.000.000.000,numeric__Mối quan hệ > Phải thu khác (Thuyết minh số 8) > Công ty con,numeric__Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 8) > Chi phí lãi vayThanh lý công cụ dụng cụ > Thu hồi vốn góp BCC,numeric__Số cuối năm > Phải thu khác (Thuyết minh số 8) > 84.544.967.287 > 2.197.028.413 > 18.000.000.000,numeric__Số đầu năm > Phải thu khác (Thuyết minh số 8) > 62.536.225.745 > 2.197.028.413 > 18.000.000.000
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Trả trước tiền mua đất,2.079.195.184,2.079.195.184,,,2079195184.0,2079195184.0
Nam Long PMD,Nam Long PMD,Nam Long PMD,Công ty con,Đặt cọc thuê văn phòng Phải thu cổ tức,1.431.051.275-,-795.046.500,,,,-795046500.0
Nam Long - Hồng Phát,Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Lãi vay,1.163.888.889,-,,,1163888889.0,
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Cổ tứcThanh lý tài sản cố định,327.800.000,327.800.000,,,327800000.0,327800000.0
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Cổ tứcThanh lý tài sản cố định,165.000.000,165.000.000,,,165000000.0,165000000.0
NLG – NNR – HRFuji,NLG – NNR – HRFuji,NLG – NNR – HRFuji,Công ty liên doanh,Tạm ứngChỉ trả hộ,-113.404.095,1.984.043.120113.404.095,,,-113404095.0,1.9840431201134042e+18
Nam Khang,Nam Khang,Nam Khang,Công ty con,Phải thu thu nhập cổ tức,-,22.040.000.000,,,,22040000000.0
Ông Nguyễn XuânQuang,Ông Nguyễn XuânQuang,Ông Nguyễn XuânQuang,Chủ tịch,Tạm ứng mua cổ phần,-,1.999.963.309,,,,1999963309.0
,,,,,110.022.335.143,112.237.706.366,,,110022335143.0,112237706366.0
