row_label_raw,row_label_full,Phải trả cho các bên liên quan (Thuyết minh số 27),Số cuối năm > 161.639.968.148,VND Số đầu năm > 322.293.973.298,numeric__Số cuối năm > 161.639.968.148,numeric__VND Số đầu năm > 322.293.973.298
Phải trả cho người các bên khác,Phải trả cho người các bên khác,Phải trả cho người các bên khác,22.062.945.599,23.245.188.645,22062945599.0,23245188645.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,183.702.913.747,345.539.161.943,183702913747.0,345539161943.0
