row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng,Giá trị đã ghi nhận,VNDGiá trị cam kết còn lại,numeric__Giá trị theo hợp đồng,numeric__Giá trị đã ghi nhận,numeric__VNDGiá trị cam kết còn lại
Dự án Fuji Residence,Dự án Fuji Residence,Dự án Fuji Residence,372.131.650.000,(121.397.080.000),250.734.570.000,372131650000.0,-121397080000.0,250734570000.0
Dự án Kikyo Residence,Dự án Kikyo Residence,Dự án Kikyo Residence,301.767.670.000,-,301.767.670.000,301767670000.0,,301767670000.0
Dự án Ehome 3,Dự án Ehome 3,Dự án Ehome 3,127.771.280.000,(92.081.170.000),35.690.110.000,127771280000.0,-92081170000.0,35690110000.0
Dự án Siêu thị Vinmart,Dự án Siêu thị Vinmart,Dự án Siêu thị Vinmart,,,,,,
Tân Thuận Đông,Dự án Siêu thị Vinmart > Tân Thuận Đông,Tân Thuận Đông,34.665.790.000,(30.502.500.000),4.163.290.000,34665790000.0,-30502500000.0,4163290000.0
Dự án Flora Anh Đào,Dự án Siêu thị Vinmart > Dự án Flora Anh Đào,Dự án Flora Anh Đào,23.969.773.849,(11.678.470.000),12.291.303.849,23969773849.0,-11678470000.0,12291303849.0
Dự án Hoàng Nam,Dự án Siêu thị Vinmart > Dự án Hoàng Nam,Dự án Hoàng Nam,18.947.550.000,(3.780.000.000),15.167.550.000,18947550000.0,-3780000000.0,15167550000.0
Dự án Bình Dương,Dự án Siêu thị Vinmart > Dự án Bình Dương,Dự án Bình Dương,2.305.080.000,(1.559.010.000),746.070.000,2305080000.0,-1559010000.0,746070000.0
Dự án Phú Thuận,Dự án Siêu thị Vinmart > Dự án Phú Thuận,Dự án Phú Thuận,478.710.000,(257.000.000),221.710.000,478710000.0,-257000000.0,221710000.0
Dự án Camellia,Dự án Siêu thị Vinmart > Dự án Camellia,Dự án Camellia,279.040.000,-,279.040.000,279040000.0,,279040000.0
TỔNG CỘNG,Dự án Siêu thị Vinmart > TỔNG CỘNG,TỔNG CỘNG,882.316.543.849,(261.255.230.000),621.061.313.849,882316543849.0,-261255230000.0,621061313849.0
