row_label_raw,row_label_full,Công ty con,col_1,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__col_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Công ty con,Công ty con,Công ty con,,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,
Nam Long VCD,Công ty con > Nam Long VCD,Nam Long VCD,(i),"90,40",970.322.200.000,"89,33",967.378.800.000,,90.4,970322200000.0,89.33,967378800000.0
Nguyên Sơn,Công ty con > Nguyên Sơn,Nguyên Sơn,(i),"87,30",687.034.822.800,"83,71",163.898.852.800,,87.3,687034822800.0,83.71,163898852800.0
NLG – NNR – HR Fuji,Công ty con > NLG – NNR – HR Fuji,NLG – NNR – HR Fuji,(i),"50,00",355.214.839.707,"95,00",303.116.435.831,,50.0,355214839707.0,95.0,303116435831.0
Nam Phan,Công ty con > Nam Phan,Nam Phan,(i),"99,96",321.686.896.717,"76,01",145.991.896.717,,99.96,321686896717.0,76.01,145991896717.0
Nam Long ADC,Công ty con > Nam Long ADC,Nam Long ADC,,"97,14",286.698.033.000,"97,14",286.698.033.000,,97.14,286698033000.0,97.14,286698033000.0
Nam Khang,Công ty con > Nam Khang,Nam Khang,,100,201.981.690.000,100,201.981.690.000,,100.0,201981690000.0,100.0,201981690000.0
Kikyo Valora,Công ty con > Kikyo Valora,Kikyo Valora,,"50,00",99.000.000.000,-,-,,50.0,99000000000.0,,
Nam Long PMD,Công ty con > Nam Long PMD,Nam Long PMD,,100,77.872.707.656,"77,74",52.937.760.000,,100.0,77872707656.0,77.74,52937760000.0
Nam Long – Hồng Phát,Công ty con > Nam Long – Hồng Phát,Nam Long – Hồng Phát,(i),"75,25",47.782.500.000,"75,25",47.782.500.000,,75.25,47782500000.0,75.25,47782500000.0
Nguyên Phúc,Công ty con > Nguyên Phúc,Nguyên Phúc,,"50,00",32.043.166 500,"50,00",56.655 133.000,,50.0,,50.0,
Thảo Nguyên,Công ty con > Thảo Nguyên,Thảo Nguyên,(i),"50,00",28.483.116 500,"99,44",97.043.166.500,,50.0,,99.44,97043166500.0
Kikyo Flora,Công ty con > Kikyo Flora,Kikyo Flora,,"50,00",25.410.500.000,-,-,,50.0,25410500000.0,,
SGD Nam Long,Công ty con > SGD Nam Long,SGD Nam Long,,100,6.000.000.000,100,6.000.000.000,,100.0,6000000000.0,100.0,6000000000.0
Dịch vụ Nam Long,Công ty con > Dịch vụ Nam Long,Dịch vụ Nam Long,,"71,29",745.000.000,"71,29",745.000.000,,71.29,745000000.0,71.29,745000000.0
TỔNG CỘNG,Công ty con > TỔNG CỘNG,TỔNG CỘNG,,,3.140.275.472.880,,2.330.229.267.848,,,3140275472880.0,,2330229267848.0
