row_label_raw,row_label_full,Nam Khang > Nam Long ADC > Dịch vụ Nam Long > Nam Long VCD > Nam Viên > Sản Giao Dịch Nam Long,Công ty con > Công ty con gián tiếp > Công ty con,Phí dịch vụ xây dựng > Phí dịch vụ tư vấn quản lý > Phí dịch vụ quản lý > Phí dịch vụ thuê văn phòng > Phí dịch vụ xây dựng > Phí hoa hồng,140.995.936 077 > 17.305.773.199 > 2.989.058.872 > 206.910.000 > 142.290.000 > -,206.288.604.200 > 89.515.853.330 > 1.815.349.656 > - > 456.485.097 > 16.499.281.015,numeric__Công ty con > Công ty con gián tiếp > Công ty con,numeric__Phí dịch vụ xây dựng > Phí dịch vụ tư vấn quản lý > Phí dịch vụ quản lý > Phí dịch vụ thuê văn phòng > Phí dịch vụ xây dựng > Phí hoa hồng,numeric__140.995.936 077 > 17.305.773.199 > 2.989.058.872 > 206.910.000 > 142.290.000 > -,numeric__206.288.604.200 > 89.515.853.330 > 1.815.349.656 > - > 456.485.097 > 16.499.281.015
Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Chủ tịch,Mua đất,-,3.165.600.000,,,,3165600000.0
Bà Nguyễn Thị Ngọc Lan,Bà Nguyễn Thị Ngọc Lan,Bà Nguyễn Thị Ngọc Lan,Bên liên quan,Mua đất,-,4.552.800.000,,,,4552800000.0
,,,,,161.639.968.148,322.293.973.298,,,161639968148.0,322293973298.0
