row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sâncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sâncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.247.080.000,181.322.097.796(105.101.246),39.819.417.94924.404.622.800(6.852.745.586),253.918.276.923264.931.128(36.960.000)(3.504.030.323),2.996.020.905191.398.636- (40.909.092),484.302.893.57324.755.851.318(6.889.705.586)(3.870.313.306),6247080000.0,,,,,
Tăng trong năm và điều chỉnh nguyên giá,Tăng trong năm và điều chỉnh nguyên giá,Tăng trong năm và điều chỉnh nguyên giá,-,-,39.819.417.94924.404.622.800(6.852.745.586),253.918.276.923264.931.128(36.960.000)(3.504.030.323),2.996.020.905191.398.636- (40.909.092),484.302.893.57324.755.851.318(6.889.705.586)(3.870.313.306),,,,,,
Thanh lý,Thanh lý,Thanh lý,-,-,39.819.417.94924.404.622.800(6.852.745.586),253.918.276.923264.931.128(36.960.000)(3.504.030.323),2.996.020.905191.398.636- (40.909.092),484.302.893.57324.755.851.318(6.889.705.586)(3.870.313.306),,,,,,
Xóa số,Thanh lý > Xóa số,Xóa số,-,(325.373.891),-,253.918.276.923264.931.128(36.960.000)(3.504.030.323),2.996.020.905191.398.636- (40.909.092),484.302.893.57324.755.851.318(6.889.705.586)(3.870.313.306),,-325373891.0,,,,
Số dư cuối năm,Thanh lý > Số dư cuối năm,Số dư cuối năm,6.247.080.000,180.891.622.659,57.371.295.163,250.642.217.728,3.146.510.449,498.298.725.999,6247080000.0,180891622659.0,57371295163.0,250642217728.0,3146510449.0,498298725999.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.829.893.799,53.643.640.538,25.527.810.605,218.029.104.292,2.105.301.988,305.135.751.222,5829893799.0,53643640538.0,25527810605.0,218029104292.0,2105301988.0,305135751222.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,178.305.578,29.191.454.223,4.689.055.172(6.184.420.715),15.333.266.901(36.960.000),528.555.190- (40.909.092),49.920.637.064(6.221.380.715)(3.870.313.306),178305578.0,29191454223.0,,,,
Thanh lý,Thanh lý,Thanh lý,-,-,4.689.055.172(6.184.420.715),15.333.266.901(36.960.000),528.555.190- (40.909.092),49.920.637.064(6.221.380.715)(3.870.313.306),,,,,,
Xóa số,Thanh lý > Xóa số,Xóa số,-,(325.373.891),-,15.333.266.901(36.960.000),528.555.190- (40.909.092),49.920.637.064(6.221.380.715)(3.870.313.306),,-325373891.0,,,,
Số dư cuối năm,Thanh lý > Số dư cuối năm,Số dư cuối năm,6.008.199.377,82.509.720.870,24.032.445.062,229.821.380.870,2.592.948.086,344.964.694.265,6008199377.0,82509720870.0,24032445062.0,229821380870.0,2592948086.0,344964694265.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,417.186.201,127.678.457.258,14.291.607.344,35.889.172.631,890.718.917,179.167.142.351,417186201.0,127678457258.0,14291607344.0,35889172631.0,890718917.0,179167142351.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,238.880.623,98.381.901.789,33.338.850.101,20.820.836.858,553.562.363,153.334.031.734,238880623.0,98381901789.0,33338850101.0,20820836858.0,553562363.0,153334031734.0
