row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Bản quyền phần mềm VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Bản quyền phần mềm VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,219.338.898.318,360.258.619.775,5.860.531.000,8.505.000.000,593.963.049.093,219338898318.0,360258619775.0,5860531000.0,8505000000.0,593963049093.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,9.874.984.254,-,-,9.874.984.254,,9874984254.0,,,9874984254.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(42.553.266),-,-,(42.553.266),,-42553266.0,,,-42553266.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,219.338.898.318,370.091.050.763,5.860.531.000,8.505.000.000,603.795.480.081,219338898318.0,370091050763.0,5860531000.0,8505000000.0,603795480081.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,34.411.095.741,300.622.687.053,5.093.612.564,4.479.904.110,344.607.299.468,34411095741.0,300622687053.0,5093612564.0,4479904110.0,344607299468.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.966.580.864,11.950.013.848,584.805.784,443.989.121,16.945.389.617,3966580864.0,11950013848.0,584805784.0,443989121.0,16945389617.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(42.553.266),-,-,(42.553.266),,-42553266.0,,,-42553266.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,38.377.676.605,312.530.147.635,5.678.418.348,4.923.893.231,361.510.135.819,38377676605.0,312530147635.0,5678418348.0,4923893231.0,361510135819.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,184.927.802.577,59.635.932.722,766.918.436,4.025.095.890,249.355.749.625,184927802577.0,59635932722.0,766918436.0,4025095890.0,249355749625.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,180.961.221.713,57.560.903.128,182.112.652,3.581.106.769,242.285.344.262,180961221713.0,57560903128.0,182112652.0,3581106769.0,242285344262.0
