row_label_raw,row_label_full,col_0,Chi phíthuê văn phòngVND,Chi phí thuếhạ tầng máy chủVND,Chi phítrã trước khácVND,Tổng cộngVND,numeric__Chi phíthuê văn phòngVND,numeric__Chi phí thuếhạ tầng máy chủVND,numeric__Chi phítrã trước khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,30.905.553.031,11.340.000.000,14.512.502.761,56.758.055.792,30905553031.0,11340000000.0,14512502761.0,56758055792.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,32.855.827.729,-,8.947.642.322,41.803.470.051,32855827729.0,,8947642322.0,41803470051.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(23.179.164.773),(7.560.000.000),(10.357.346.784),(41.096.511.557),-23179164773.0,-7560000000.0,-10357346784.0,-41096511557.0
Thanh lý,Thanh lý,Thanh lý,-,-,(1.196.396),(1.196.396),,,-1196396.0,-1196396.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,40.582.215.987,3.780.000.000,13.101.601.903,57.463.817.890,40582215987.0,3780000000.0,13101601903.0,57463817890.0
