row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,12.938.780.810.000,7.359.059.317.417,(232.858.460.000),384.708.394.204,1.701.765.187.277,22.151.455.248.898,12938780810000.0,7359059317417.0,-232858460000.0,384708394204.0,1701765187277.0,22151455248898.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,863.024.249.859,863.024.249.859,,,,,863024249859.0,863024249859.0
"Phân bổ vào quỹ khen thưởng,phúc lợi","Phân bổ vào quỹ khen thưởng,phúc lợi","Phân bổ vào quỹ khen thưởng,phúc lợi",-,-,-,-,(36.613.830.497),(36.613.830.497),,,,,-36613830497.0,-36613830497.0
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,-,-,(1.524.710.682.000),(1.524.710.682.000),,,,,-1524710682000.0,-1524710682000.0
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,12.938.780.810.000,7.359.059.317.417,(232.858.460.000),384.708.394.204,1.003.464.924.639,21.453.154.986.260,12938780810000.0,7359059317417.0,-232858460000.0,384708394204.0,1003464924639.0,21453154986260.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.176.484.457.370,2.176.484.457.370,,,,,2176484457370.0,2176484457370.0
"Phân bổ vào quỹ khen thưởng,phúc lợi","Phân bổ vào quỹ khen thưởng,phúc lợi","Phân bổ vào quỹ khen thưởng,phúc lợi",-,-,-,-,(29.794.781.624),(29.794.781.624),,,,,-29794781624.0,-29794781624.0
Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,Phân bổ vào quỹ đầu tư phát triển,-,-,-,84.255.578.515,(84.255.578.515),-,,,,84255578515.0,-84255578515.0,
Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),Cổ tức (Thuyết minh 25),-,-,-,-,(889.414.564.500),(889.414.564.500),,,,,-889414564500.0,-889414564500.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,12.938.780.810.000,7.359.059.317.417,(232.858.460.000),468.963.972.719,2.176.484.457.370,22.710.430.097.506,12938780810000.0,7359059317417.0,-232858460000.0,468963972719.0,2176484457370.0,22710430097506.0
